namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_names,fn_random_names,pn_alpine_planets,pn_arctic_planets,pn_arid_planets,pn_continental_planets,pn_desert_planets,pn_gaia_planets,pn_generic_planets,pn_ocean_planets,pn_savannah_planets,pn_tropical_planets,pn_tundra_planets,sn_battle_cruiser,sn_battleship,sn_carrier,sn_colonizer,sn_colossus,sn_constructor,sn_corvette,sn_cruiser,sn_destroyer,sn_dreadnought,sn_exploration_ship,sn_flagship,sn_frigate,sn_generic,sn_headquarters,sn_ion_cannon,sn_juggernaut,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_science,sn_sponsored_colonizer,sn_strike_cruiser,sn_titan,sn_transport,sn_xl_cannon
Ancient Egyptian (ONL),osiris,ancientegypt,$ORD$ Purifiers of Osiris,$ORD$ Chosen of Min,$ORD$ Guardians of Osiris,$ORD$ Chosen of Ra,$ORD$ Chosen of Amenhotep,$ORD$ Purifiers of Ptah,$ORD$ Purifiers of Ptah,$ORD$ Purifiers of Ptah,$ORD$ Guardians of Ptah,$ORD$ Liberators of Osiris,$ORD$ Chosen of Apopis,$ORD$ Chosen of Hathor,$ORD$ Chosen of Min,$ORD$ Chosen of Ptah,$ORD$ Guardians of Ptah,$ORD$ Liberators of Ptah,$ORD$ Chosen of Set,$ORD$ Chosen of Anubis,$ORD$ Chosen of Typhon,Aat,Akhom,"Merneith, of the Two Ladies","Djoser, Spirit of Aten",,,$ORD$ Disciples of Horus,Sopdus Gale,,,,,,,Thebes,,,,,Blood of Amon-Ra,Serket,Sekhmet,Renenutets Will,Amon-Ra,Renenutets Plow,Astis Khopesh,Blood of Montu,Setchehs Chariot,Set,Thoths Reach,Osiris,Anukes Spear,Abu,Heart of Ra,Light of Ra,Amon,House of Horus,House of Anhur,House of Sekhmet,Thoths Brilliance,Tatenens Will,Anubiss Dagger,Horus,Khufus Barque,Blinding Light of Ra
,,,,,,,,,,,,,,,,,,,,,,Ahhotep,Amasis,"Sobekneferu, Beloved of Ra","Khufu, the Grand Architect",,,,Hathors Splendor,,,,,,,Memphis,,,,,Wrath of Neith,Ammit,Neith,Hapis Flood,,Hand of Atum,Wepsets Rage,Dagger of Montu,Apeshs Khopesh,Selkis,Thoths Discovery,,Wepwawets Spear,Ra-ateni,,,Ra,,,,Thoths Light,Nepits Hearth,Menhits Khopesh,Anhur,Word of Den,
,,,,,,,,,,,,,,,,,,,,,,Amenirdis,Amenmesse,"Hatshepsut, the Enduring","Thutmose, Tamer of Worlds",,,,Sekhmets Guardians,,,,,,,Amarna,,,,,Amon-Ras Javelin,Anubis,Sobek,Nepits Bounty,,Breath of Nepit,Kebehuts Dagger,Dagger of Amon-Ra,Fist of Denwen,Anuke,Revelation of Khonsu,,Pelicans Spear,Asclepius,,,,,,,Spirit of Thoth,Rite of Tatenen,Sobeks Fury,Shentayet,Breath of Apep,
,,,,,,,,,,,,,,,,,,,,,,Aneksi,Amenmose,"Nefertiti, Sacred of Appearance","Amenhotep, Utterance of Osiris",,,,Maahess Roar,,,,,,,Abydos,,,,,Blade of Bastet,Heptet,Astarte,Isiss Hearth,,Hand of Ptah,Dagger of Shemat-Khu,Dagger of Neith,Resheps Vigil,Anat,Khonsus Secret,,Meretsegers Shield,Mehit,,,,,,,Thoths Genius,Nepits Will,Hetemits Rage,Taweret,Ras Chariot,
,,,,,,,,,,,,,,,,,,,,,,Ankhenespepi,Amennakht,"Cleopatra, Giver of Life","Akhenaten, the Fighting Hawk",,,,Menhits Thunder,,,,,,,Apis,,,,,Montus Javelin,Ta-Bijet,Horus,Tatenens Will,,Nefertums Creation,Blade of Seblumeker,Osiriss Arrow,Fist of Apesh,Wepset,Khonsus Yearning,,Blade of Heryshaf,Unut,,,,,,,Imhoteps Light,Tatenens Hearth,Montus Khopesh,Sekhmet,Spirit of Neferirkare,
,,,,,,,,,,,,,,,,,,,,,,Ankhesenamun,Amenophis,"Neferirkare, Light of Ra","Tutankhamun, Lord of the Stars",,,,Khepris Guard,,,,,,,Setennu,,,,,Blood of Menhit,Hetepes-Sekhus,Hedetet,Hathors Bounty,,Bennus Blessing,Khesfus Dagger,Selkiss Chariot,Apiss Vigil,Shesmetet,Thoths Utterance,,Baals Rage,Āpesh,,,,,,,Eye of Imhotep,Rite of Nepit,Blade of Bastet,Aten,Kagemnis Steed,
,,,,,,,,,,,,,,,,,,,,,,Ankhesenpaaten,Ameny,"Aya, Divine in Appearance","Remesses, Osirian Protector",,,,Sets Wrath,,,,,,,Tao,,,,,Bastets Spear,Pelican,Kebehut,Rite of Anuket,,Ptahs itude,Blade of Apis,Osiriss Rage,Mehens Arrow,Amon,Khonsus Pioneer,,Blade of Apep,Panebtawy,,,,,,,Hand of Thoth,Tatenens Bounty,Fist of Aten,Montu,Voice of Ptahshepses,
,,,,,,,,,,,,,,,,,,,,,,Anpuhotep,Amun-her-khepeshef,,"Sekhemket, Guardian of the Gods",,,,Bennus Fire,,,,,,,Per-Hathor,,,,,Anhurs Fury,Bastet,Anhefta,Hathors Will,,Ptahs Vision,Hetepes-Sekhuss Dagger,Blood of Hetemit,Wrath of Khentekhtai,Ahti,Khonsus Prophecy,,Wrath of Serapis,Yam,,,,,,,Spirit of Imhotep,Earth of Tatenen,Sekhmets Spear,Osiris,Spirit of Isis,
,,,,,,,,,,,,,,,,,,,,,,Baketmut,Amun-her-wenemef,,"Snefru, Blessed of Isis",,,,Selkiss Sting,,,,,,,Kom Ombo,,,,,Wrath of Ra,,Shemat-Khu,Isiss Bounty,,Ptahs Vigor,Wrath of Apis,Amon-Ras Dagger,Blood of Harmachis,,Thoths Prophecy,,Meretsegers Fury,Baal,,,,,,,Hand of Imhotep,Isiss Hearth,Neiths Javelin,,Apeps Steed,
,,,,,,,,,,,,,,,,,,,,,,Beketamun,Ankh-ef-en-khonsu,,"Khafre, Eye of Horus",,,,Isiss Blessed,,,,,,,Swenett,,,,,Blood of Selkis,,Ishtar,Rite of Tatenen,,Ptahs Will,Blood of Buchis,Menhits Chariot,Aanis Khopesh,,Khonsus Reach,,Ammits Arrow,Heru-Khu,,,,,,,Imhoteps Genius,Rite of Anuket,Ras Fury,,Spirit of Khafre,
