namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_names,fn_random_names,pn_generic_planets,pn_arid_planets,pn_desert_planets,pn_alpine_planets,pn_continental_planets,pn_savannah_planets,pn_ocean_planets,pn_arctic_planets,pn_tundra_planets,pn_tropical_planets,pn_gaia_planets,sn_generic,sn_corvette,sn_destroyer,sn_frigate,sn_cruiser,sn_battle_cruiser,sn_striker_cruiser,sn_battleship,sn_carrier,sn_dreadnought,sn_titan,sn_flagship,sn_juggernaut,sn_colossus,sn_colonizer,sn_sponsored_colonizer,sn_constructor,sn_exploration_ship,sn_science,sn_transport,sn_headquarters,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_ion_cannon,sn_xl_cannon
Culture-esque,osiris,culture,General Offensive Unit $C$,Clone Combat Unit $C$,General Defensive Unit $C$,Genofixed Combat Section $C$,Industrial Combat Unit $C$,Drone Offensive Unit $C$,Drone Offensive Unit $C$,Drone Offensive Unit $C$,Drone Defensive Unit $C$,General Contact Unit $C$,General Combat Unit $C$,Primitive Combat Unit $C$,Special Circumstances Combat Section $C$,Drone Combat Unit $C$,Drone Defensive Unit $C$,Drone Contact Unit $C$,Volunteer Combat Unit $C$,Sleeve Combat Section $C$,Chelgrian Combat Section $C$,Solbli,Septame,Solbli,Septame,Barnstegeyne,Barnstegeyne,General Combat Fleet $C$,Mistake Not,Chiark,,,,,,,,,,,Oceanic Dissonance,Eight Rounds Rapid,Eight Rounds Rapid,Eight Rounds Rapid,Invincible,Invincible,Invincible,Xenoclast,Xenoclast,Xenoclast,Xenoclast,Bora Horza Gobuchul,Bora Horza Gobuchul,Bora Horza Gobuchul,Just Passing Through,Just Passing Through,Kiss My Ass,Limiting Factor,Limiting Factor,Clear Air Turbulence,The Grid,General Defensive Orbital,General Defensive Platform,General Defensive Unit,Gridfire Platform,Gridfire Platform XL
,,,,,,,,,,,,,,,,,,,,,,Chayeleze,Prin,Chayeleze,Prin,Hifornsdaughter,Hifornsdaughter,,Endless Search,Chel,,,,,,,,,,,8401.00 Partial Photic Boundary,No One Knows What The Dead Think,No One Knows What The Dead Think,No One Knows What The Dead Think,Joiler Veppers,Joiler Veppers,Joiler Veppers,Revisionist,Revisionist,Revisionist,Revisionist,Determinist,Determinist,Determinist,"Oh Look, a Habitable Planet","Oh Look, a Habitable Planet",Prime Mover,Zealot,Zealot,Hit the Road,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Chekwri,Pyan,Chekwri,Pyan,Vatueil,Vatueil,,,Masaq,,,,,,,,,,,"Now, Turning to Reason, & its Just Sweetness",Hylozoist,Hylozoist,Hylozoist,Headcrash,Headcrash,Headcrash,Trade Surplus,Trade Surplus,Trade Surplus,Trade Surplus,Eschatologist,Eschatologist,Eschatologist,We Got Here First,We Got Here First,Charitable View,Smile Tolerantly,Smile Tolerantly,On The Move,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Geljemyn,Folrison,Geljemyn,Folrison,Quilan,Quilan,,,Schar's World,,,,,,,,,,,On First Seeing Jhiriit,"Me, I'm Counting","Me, I'm Counting","Me, I'm Counting",Questionable Ethics,Questionable Ethics,Questionable Ethics,Heavy Messing,Heavy Messing,Heavy Messing,Heavy Messing,Irregular Apocalypse,Irregular Apocalypse,Irregular Apocalypse,"Mine, all Mine","Mine, all Mine",Vulgarian,Screw Loose,Screw Loose,Catch a Ride,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lededje,Quavarond,Lededje,Quavarond,Veppers,Veppers,,,Veil,,,,,,,,,,,"Fasilyce, Upon Waking",The Usual But Etymologically Unsatisfactory,The Usual But Etymologically Unsatisfactory,The Usual But Etymologically Unsatisfactory,Xenocrat,Xenocrat,Xenocrat,Killing Time,Killing Time,Killing Time,Killing Time,No More Mr Nice Guy,No More Mr Nice Guy,No More Mr Nice Guy,Let's Plant a Flag,Let's Plant a Flag,Zoologist,Messenger Of Truth,Messenger Of Truth,Off the Beaten Path,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Vyr,Gyorni,Vyr,Gyorni,Zlepe,Zlepe,,,Vavatch,,,,,,,,,,,Exaltation-Parsimony III,Refreshingly Unconcerned With The Vulgar Exigencies Of Veracity,Refreshingly Unconcerned With The Vulgar Exigencies Of Veracity,Refreshingly Unconcerned With The Vulgar Exigencies Of Veracity,Falling Outside the Normal Moral Constraints,Falling Outside the Normal Moral Constraints,Falling Outside the Normal Moral Constraints,Frank Exchange of Views,Frank Exchange of Views,Frank Exchange of Views,Frank Exchange of Views,The Ends Of Invention,The Ends Of Invention,The Ends Of Invention,General Colonization Unit,General Colonization Unit,Foundation Layer,Appeal To Reason,Appeal To Reason,Scenic Route,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Yegres,Intyom,Yegres,Intyom,Ybreq,Ybreq,,,Sursamen,,,,,,,,,,,Abalule-Sheliz,Value Judgement,Value Judgement,Value Judgement,"Inspiral, Coalescence, Ringdown","Inspiral, Coalescence, Ringdown","Inspiral, Coalescence, Ringdown",Nuisance Value,Nuisance Value,Nuisance Value,Nuisance Value,Cargo Cult,Cargo Cult,Cargo Cult,I'd Rather Not...,I'd Rather Not...,Nail it Down,Break Even,Break Even,Ride Shotgun,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Yime,Tibilo,Yime,Tibilo,Crossont,Crossont,,,Yoleus,,,,,,,,,,,Gellemtyan-Asool-Anafawaya,Gunboat Diplomat,Gunboat Diplomat,Gunboat Diplomat,Not Invented Here,Not Invented Here,Not Invented Here,Learned Response,Learned Response,Learned Response,Learned Response,Little Rascal,Little Rascal,Little Rascal,This World Lacks Gravitas,This World Lacks Gravitas,Finishing Touches,Long View,Long View,Road Less Traveled,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Nyomulde,Jevan,Nyomulde,Jevan,Nsokyi,Nsokyi,,,Hesperos,,,,,,,,,,,Laskuil-Hliz,Attitude Adjuster,Attitude Adjuster,Attitude Adjuster,Don't Try This At Home,Don't Try This At Home,Don't Try This At Home,Iberre,Iberre,Iberre,Iberre,So Much For Subtlety,So Much For Subtlety,So Much For Subtlety,Let's Hope this Goes Better Than Earth,Let's Hope this Goes Better Than Earth,Built in a Day,Peace Makes Plenty,Peace Makes Plenty,In One Piece,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Orpe,Joiler,Orpe,Joiler,Tyun,Tyun,,,Lumina,,,,,,,,,,,Quiatrea-Anang,Caconym,Caconym,Caconym,Passing By And Thought I'd Drop In,Passing By And Thought I'd Drop In,Passing By And Thought I'd Drop In,Hence the Fortress,Hence the Fortress,Hence the Fortress,Hence the Fortress,Unfortunate Conflict Of Evidence,Unfortunate Conflict Of Evidence,Unfortunate Conflict Of Evidence,How Long Until the Monolith Appears?,How Long Until the Monolith Appears?,Square Peg,Sober Counsel,Sober Counsel,,,,,,,
