namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_second_names,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,fn_fleet_names,fn_random_names,pn_generic_planets,pn_arid_planets,pn_desert_planets,pn_alpine_planets,pn_continental_planets,pn_savannah_planets,pn_ocean_planets,pn_arctic_planets,pn_tundra_planets,pn_tropical_planets,pn_gaia_planets,sn_generic,sn_corvette,sn_destroyer,sn_frigate,sn_cruiser,sn_battle_cruiser,sn_striker_cruiser,sn_battleship,sn_carrier,sn_dreadnought,sn_titan,sn_flagship,sn_juggernaut,sn_colossus,sn_colonizer,sn_sponsored_colonizer,sn_constructor,sn_exploration_ship,sn_science,sn_transport,sn_headquarters,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_ion_cannon,sn_xl_cannon
Native American (ONL),osiris,nativeamerican,$ORD$ Braves,$ORD$ Skinwalker War Party,$ORD$ Tribal Protectors,$ORD$ Skinwalker  Army,$ORD$ Masauwu Warriors,$ORD$ Tribal Machines,$ORD$ Tribal Machines,$ORD$ Tribal Machines,$ORD$ Tribal Machine Defenders,$ORD$ Kituwah Braves,$ORD$ Braves,$ORD$ Braves,$ORD$ Kachina Warriors,$ORD$ Robotic Braves,$ORD$ Robotic Kituwah Braves,$ORD$ Robotic Kituwah Warriors,$ORD$ Servant Warriors,$ORD$ Wendigo Warriors,$ORD$ Gonakadet,Aiyana,Ahote,Black,Sky Woman,Joseph,,Kisikaniski Waganak $C$,Mukwa-Kuhagun,,Zuni,Chemehuevi,Blackfeet,Cherokee,Cherokee,Wampanoag,Ahtna,Ahtna,Arawak,Happy Hunting Grounds,Dances with Stars,Acoma,Acoma,Acoma,Chindi,Chindi,Chindi,Ajtzak,Ajtzak,Ajtzak,Ajtzak,Tawa,Tawa,Tawa,Atse Hastin,Atse Hastin,Spider Grandmother,Nanabozho,Coyote,Ptesanwi,The Grand Council,Onontaka,Manato,Nepahwikosis,Thunderbird,Great Thunderbird
,,,,,,,,,,,,,,,,,,,,,,Alawa,Bly,Brown,Morning Star,Sitting Bull,,,Ma'iinganag,,Hopi,Mohave,Crow,Chickasaw,Chickasaw,Narragansett,Aleut,Aleut,Carib,Land of the Dead,Moondancer,Agua Caliente,Agua Caliente,Agua Caliente,Shade,Shade,Shade,Centeotl,Centeotl,Centeotl,Centeotl,Great Spirit,Great Spirit,Great Spirit,Asdzaa Nadleeh,Asdzaa Nadleeh,Kokopelli,Quetzalcoatl,Grandmother Spider,Horse Woman,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Aleutia,Cochise,White,Wabanaki,Red Cloud,,,Nanta Dinee,,Laguna,Quechan,Shoshone,Choctaw,Choctaw,Mohegan,Alutiiq,Alutiiq,Taino,Sky World,Flies Like Comet,Ak-Chin,Ak-Chin,Ak-Chin,Mashtotse,Mashtotse,Mashtotse,Chac,Chac,Chac,Chac,Awonawilona,Awonawilona,Awonawilona,Sky Woman,Sky Woman,Hurakan,Raven,Pueblo God of Knowledge,Horse Spirit,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Ama,Dohasan,Gray,Blackbird,Geronimo,,,Ahkaiyikop,,Jemez,Yuma,Ute,Creek,Creek,Pequot,Chugach,Chugach,Ciboney,Isle of the Blessed,Meteor Rage,Aleut,Aleut,Aleut,Koyangwuti,Koyangwuti,Koyangwuti,Chicomecoatl,Chicomecoatl,Chicomecoatl,Chicomecoatl,Gichi-Manidoo,Gichi-Manidoo,Gichi-Manidoo,Raven,Raven,Aconcagua,Manabozho,Iktomi,Horse Boy,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Anaba,Etchemin,Blue,Red Corn,Tecumseh,,,Awi Usdi,,Isleta,Cocopah,Paiute,Seminole,Seminole,Penobscot,Deg Hitan,Deg Hitan,Guanajatabey,Land of Enchantment,Running Deer,Apache,Apache,Apache,Winona,Winona,Winona,Coatlicue,Coatlicue,Coatlicue,Coatlicue,,,,Coyote,Coyote,Tawa,Aataentsic,The Man in the Sun,Black Horse,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Analia,Fala,Yellow,Sister of the Moon,Black Hawk,,,Vooheheve,,San Felipe,Cahuilla,Goshute,Yuchi,Yuchi,Passamaquoddy,Denaina,Denaina,Kalinago,Land of Eternal Spring,Strong Bear,Arapaho,Arapaho,Arapaho,Wekufe,Wekufe,Wekufe,Haumia-tiketike,Haumia-tiketike,Haumia-tiketike,Haumia-tiketike,,,,Spider Woman,Spider Woman,Ictinike,Qaniujaaqpait,The Three Sisters,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Aponi,Gomda,Green,White Eagle,Crazy Horse,,,Ishkulbaa,,Santo Domingo,Kumeyaay,Navajo,Natchez,Natchez,Micmac,Eyak,Eyak,Taíno,Land of the Afternoon Sun,White Eagle,Arikara,Arikara,Arikara,Kalona,Kalona,Kalona,Hiiaka,Hiiaka,Hiiaka,Hiiaka,,,,Kokopelli,Kokopelli,Coyote,Urcaguary,The Old Man of the Black Hills,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Aquene,Haloke,Red,Sweetgrass,Osceola,,,Tsikwu'atsi,,Santa Clara,Luiseno,Hopi,Houma,Houma,Abenaki,Gwichin,Gwichin,Lucayan,Land of the Shining Mountains,Little Hawk,Assiniboine,Assiniboine,Assiniboine,Moctezuma,Moctezuma,Moctezuma,Hina,Hina,Hina,Hina,,,,White Buffalo Calf Woman,White Buffalo Calf Woman,Sedna,Glooskap,The Great Mystery,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Awinita,Ishi,Fox,Turtle Heart,Pontiac,,,Ha'oohadaha,,Havasupai,Cupeno,Zuni,Tunica-Biloxi,Tunica-Biloxi,Mashpee,Haida,Haida,Garifuna,Land of the Red Rocks,Quiet Waters,Atakapa,Atakapa,Atakapa,Xibalba,Xibalba,Xibalba,Huitaca,Huitaca,Huitaca,Huitaca,,,,Buffalo Woman,Buffalo Woman,Chahnameed,Olokun,The Great Spirit,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Ayita,Jolon,Bear,Singing Wind,Seattle,,,Nirlirvik,,Hualapai,Paiute,Laguna,Chitimacha,Chitimacha,Aquinnah,Holikachuk,Holikachuk,Warao,Land of the Thunderbird,Red Wolf,Atsina,Atsina,Atsina,Acheri,Acheri,Acheri,Huitzilopochtli,Huitzilopochtli,Huitzilopochtli,Huitzilopochtli,,,,Quetzalcoatl,Quetzalcoatl,Quetzalcoatl,Yacumama,The Creator,,,,,,,
