namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,fn_fleet_names,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,pn_alpine_planets,pn_arctic_planets,pn_arid_planets,pn_continental_planets,pn_desert_planets,pn_gaia_planets,pn_generic_planets,pn_ocean_planets,pn_savannah_planets,pn_tropical_planets,pn_tundra_planets,sn_battle_cruiser,sn_battleship,sn_carrier,sn_colonizer,sn_colossus,sn_constructor,sn_corvette,sn_cruiser,sn_destroyer,sn_dreadnought,sn_exploration_ship,sn_flagship,sn_frigate,sn_generic,sn_headquarters,sn_ion_cannon,sn_juggernaut,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_science,sn_sponsored_colonizer,sn_strike_cruiser,sn_titan,sn_transport,sn_xl_cannon
XenoGrecoRom (ONL),osiris,xeno_greek_roman,$ORD$ Main Battle Division,$ORD$ Clone Division,$ORD$ Planetary Reservists,$ORD$ Warborn Division,,,,,,,,,$ORD$ Psi Commandos,$ORD$ Armored Drone Division,,,$ORD$ Conscript Division,$ORD$ Classis,,$ORD$ Heavy Genetic Division,Veronica,Armessolus,Neta Maxentina,Nohn Concaster,Condinianum,Junox,Ricitia,Nemedii,Candellum,Anthezoe,Verquitas,Elù Vicana,,Medii,Obara,Discorus,Stania,Junox,Junox,Junox,Prae Temium,Junox,Arta Honorsa,Mitralexis,Valerius,Navenovium,Junox,,Junox,Mitralexis,Naenina,,,Junox,,,,Seno Theophilm,,,,Vio,
,,,,,,,,,,,,,,,,,,,,,,,Aemitela,Mellumnus,Neta Fatima,Nohn Ternax,Alesnium,Abelicus,Ruttius,Neme,Condavenna,Aejan,Voluria,Elù Gereatinian,,Muthras,Olybris,Discipnina,Saturnus,Vendis,Vendis,Vendis,Prae Carnes,Vendis,Arta Victma,Salessis,Macleodos,Loria,Vendis,,Vendis,Salessis,Inmontius,,,Vendis,,,,Seno Aeterna,,,,Acerra,
,,,,,,,,,,,,,,,,,,,,,,,Evolumina,Romulam,Neta Cordelia,Nohn Vespus,Navenua,Hena,Romula,Nunes,Carades,Artù Arzzi,Velkeona,Elù Quintia,,Mones,Olippikos,Diocleù,Securian,Sordivia,Sordivia,Sordivia,Prae Phio,Sordivia,Arta Corinius,Teria Pris,Lerinas,Media Lanovum,Sordivia,,Sordivia,Teria Pris,Basipdate,,,Sordivia,,,,Seno Socetu,,,,Imaa,
,,,,,,,,,,,,,,,,,,,,,,,Clemonia,Horos,Neta Cate,Nohn Aryx,Intempes,Probigus,Ricum,Necs,Coriritios,Abudantium,Vitas,Elù Lectis,,Manesy,Olitas,Danumulus,Soldosium,Corbona,Corbona,Corbona,Prae Vituscus,Corbona,Arta Gaetaia,Fora,Nera,Adriselium,Corbona,,Corbona,Fora,Banluna,,,Corbona,,,,Seno Ruselonia,,,,Clopia,
,,,,,,,,,,,,,,,,,,,,,,,Sumna,Demlum,Neta Domitina,Nohn Empedum,Aurolican,Vendis,Robus,Navious,Camerian,Alexande,Vecte,Elù Aphrxia,,Maroma,Occate,Duroacina,Septeus,Armessolus,Armessolus,Armessolus,Prae Romanona,Armessolus,Arta Galerian,Clemonia,Leonstius,Cosae,Armessolus,,Armessolus,Clemonia,Majoria,,,Armessolus,,,,Seno Terratx,,,,Discous,
,,,,,,,,,,,,,,,,,,,,,,,Vidonia,Thenata,Neta Diolane,Nohn Valerian,Veiovium,Liberra,Robigustus,Nacx,Claudii,Apbulinus,Vitellona,Elù Noxclausentum,,Maniate,Orba,Domitianza,Semonas,Temona,Temona,Temona,Prae Secremena,Temona,Arta Hermlona,Cancury,Zens,Navelia,Temona,,Temona,Cancury,Securia,,,Temona,,,,Seno Camula,,,,Poruvaa,
,,,,,,,,,,,,,,,,,,,,,,,Vaccanna,Gallium,Neta Bailia,Nohn Lucius,Hadrumina,Vuliberra,Romago,Naenina,Constantinum,Arcaeter,Viduium,Elù Majovian,,Magxia,Olitum,Deverrcus,Sentus,Lartuna,Lartuna,Lartuna,Prae Justilian,Lartuna,Arta Vectilian,Bons,Valenus,Taneumna,Lartuna,,Lartuna,Bons,Lavees,,,Lartuna,,,,Seno Naenina,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Fera,Hispella,Neta Jovium,Nohn Feralian,Ivr Vremona,Somor,Regillus,Nakios,Carnxia,Alemrae,Vogo,Elù Cupidria,,Marcosa,Olica,Decimazzi,Subrivia,Conona,Conona,Conona,Prae Aetellus,Conona,Arta Ferona,Flonius,Therius,Bevinia,Conona,,Conona,Flonius,Valeria,,,Conona,,,,Seno Gordia,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Cybeona,Concaster,Neta Astella,Nohn Padrian,,Bondita,Romanterme,Naenna,Caenia,Aquilnna,Vacuel,Elù Durocosquitas,,Menaees,Olicum,Deverrlis,Staurx,Evolumina,Evolumina,Evolumina,Prae Moninum,Evolumina,Arta Vurelian,Faus,Caleodos,Varium,Evolumina,,Evolumina,Faus,Vesprio,,,Evolumina,,,,Seno Zenos,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Roriaputas,Apollum,,,,Bares,Regula,Nemeù,Clemeo,Anaszeno,Vercea,Elù Concommodus,,Majstes,Obaracum,Donrva,Senxia,Vidonia,Vidonia,Vidonia,,Vidonia,Arta Vulturna,Bars,Septius,Caes,Vidonia,,Vidonia,Bars,Pietroum,,,Vidonia,,,,Seno Licinium,,,,,
