namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_names,fn_random_names,pn_generic_planets,pn_arid_planets,pn_desert_planets,pn_alpine_planets,pn_continental_planets,pn_savannah_planets,pn_ocean_planets,pn_arctic_planets,pn_tundra_planets,pn_tropical_planets,pn_gaia_planets,sn_generic,sn_corvette,sn_destroyer,sn_frigate,sn_cruiser,sn_battle_cruiser,sn_striker_cruiser,sn_battleship,sn_carrier,sn_dreadnought,sn_titan,sn_flagship,sn_juggernaut,sn_colossus,sn_colonizer,sn_sponsored_colonizer,sn_constructor,sn_exploration_ship,sn_science,sn_transport,sn_headquarters,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_ion_cannon,sn_xl_cannon
D&D (ONL),osiris,dungeons_and_dragons,$ORD$ Barbarian Army,$ORD$ Doppleganger Army,$ORD$ Shield Guardians,$ORD$ Wild Shape Army,$ORD$ Dwarven Army,$ORD$ Golem Army,$ORD$ Golem Army,$ORD$ Golem Army,$ORD Golem Defenders,$ORD$ Garrison,$ORD$ Army,$ORD$ Uthgardt Tribe,$ORD$ Psion Army,$ORD$ Golem Army,$ORD$ Shield Guardians,$ORD$ Golem Garrison,$ORD$ Conscript Army,$ORD$ Zombie Army,$ORD$ Otyugh Army,Aelara,Alistair,Amara,Aric,Moonbrook,Ironhide,$ORD$ Imperial Navy,,Waterdeep,Ank'Harel,Ank'Harel,Highcliff,Greenhaven,Sunfield,Coralhaven,Frostholm,Frostholm,Sunhaven,Myth Drannor,,Aarakocra,Aarakocra,Aarakocra,Aboleth,Aboleth,Aboleth,Blue Dracolich,Blue Dracolich,Blue Dracolich,Blue Dracolich,Bahamut,Bahamut,Bahamut,Phandalin,Harpers,Dumathoin,Drizzt Do'Urden,Elminster Aumar,Galley,Waterdeep,Citadel,Castle,Fort,Ballista,Catapult
,,,,,,,,,,,,,,,,,,,,,,Althaea,Asher,Calista,Cedric,Silvercrest,Stormrider,,,Baldur's Gate,Calimport,Calimport,Ironpeak,Riverbrook,Grasslandia,Pearlport,Snowpeak,Snowpeak,Palmcrest,Silverymoon,,Acolyte,Acolyte,Acolyte,Black Dragon,Black Dragon,Black Dragon,Blue Dragon,Blue Dragon,Blue Dragon,Blue Dragon,Tiamat,Tiamat,Tiamat,Saltmarsh,Zhentarim,Moradin,Arilyn Moonblade,Mordenkainen,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Amara,Bastian,Daphne,Edmund,Stormgaard,Frostbane,,,Neverwinter,Huzuz,Huzuz,Frostholm,Willowdale,Windy Acres,Seashell Bay,Icehaven,Icehaven,Azure Bay,Waterdeep,,Allosaurus,Allosaurus,Allosaurus,Brass Dragon,Brass Dragon,Brass Dragon,Bronze Dragon,Bronze Dragon,Bronze Dragon,Bronze Dragon,Solar,Solar,Solar,New Dawn,Order of the Gauntlet,Bael Turath,Eilistraee,Bigby,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Ashara,Cedric,Elara,Frederick,Highwind,Silverthorn,,,Sigil,Zakhara,Zakhara,Stoneguard,Oakheart,Amberstep,Ocean's Embrace,Blizzard's End,Blizzard's End,Tropicana,Neverwinter,,Ancient Shadow,Ancient Shadow,Ancient Shadow,Bronze Dragon,Bronze Dragon,Bronze Dragon,Gold Dragon,Gold Dragon,Gold Dragon,Gold Dragon,Tarrasque,Tarrasque,Tarrasque,Farshore,Thieves' Guild of Waterdeep,Hruggek,Jarlaxle Baenre,Raistlin Majere,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Azura,Darian,Freya,Gideon,Frostbourne,Firebrand,,,Silverymoon,Muluk,Muluk,Thunderhold,Silverwood,Goldenbreeze,Mariner's Rest,Frostbite,Frostbite,Coralshore,Sigil,,Ankheg,Ankheg,Ankheg,Copper Dragon,Copper Dragon,Copper Dragon,Green Dragon,Green Dragon,Green Dragon,Green Dragon,Imix,Imix,Imix,Port Last,The Arcane Brotherhood,Lord Soth,Alhandra,Vecna,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Brynn,Eldric,Guinevere,Harold,Firethorn,Shadowsong,,,Athkatla,Samarah,Samarah,Skyhaven,Windmere,Dusty Plains,Wavecrest,Winter's Edge,Winter's Edge,Sunfire Isle,Athkatla,,Ankylosaurus,Ankylosaurus,Ankylosaurus,Green Dragon,Green Dragon,Green Dragon,Red Dragon,Red Dragon,Red Dragon,Red Dragon,Ogremoch,Ogremoch,Ogremoch,Firehammer Hold,Emerald Enclave,Halfling,Catti-brie,Azuth,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Calandra,Finnian,Helena,Ignatius,Starborne,Thunderstrike,,,Myth Drannor,Ashurta,Ashurta,Granitepeak,Summergate,Serengeti,Tidebreaker,Glacier's Reach,Glacier's Reach,Ember's Rest,Elturel,,Anta Ray,Anta Ray,Anta Ray,White Dragon,White Dragon,White Dragon,Silver Dragon,Silver Dragon,Silver Dragon,Silver Dragon,Olhydra,Olhydra,Olhydra,Seawell,Iron Throne,Giant,Scanlan Shorthalt,Iggwilv,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Celeste,Gideon,Isabella,Julian,Ironhelm,Stoneheart,,,Sharn,Tulefaan,Tulefaan,Stormbreak,Thornhill,Meadowbrook,Aquatica,Icemere,Icemere,Paradise Port,Baldur's Gate,,Ape,Ape,Ape,Arcanaloth,Arcanaloth,Arcanaloth,Androsphinx,Androsphinx,Androsphinx,Androsphinx,Yan-C-Bin,Yan-C-Bin,Yan-C-Bin,Mithral Hall,The Harbingers,Netheril,Deirdre,Halaster Blackcloak,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Daena,Hadrian,Junia,Leopold,Ravenshield,Winterfell,,,Menzoberranzan,Akkadia,Akkadia,Cliffspire,Brightwater,Tallgrass,Saltwater Reach,Frostfjord,Frostfjord,Palmleaf Village,Calimport,,Apprentwizard,Apprentwizard,Apprentwizard,Archmage,Archmage,Archmage,Balor,Balor,Balor,Balor,,,,Red Larch,Council of Wyrms,Vizeran DeVir,Keyleth,Acererak,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Elara,Jareth,Kalara,Maximus,Shadowblade,Blackthorn,,,Luskan,Suhayl,Suhayl,Frostfall,Maplewood,Swiftwater,Deepsea Citadel,Snowfall,Snowfall,Sunburst City,Sharn,,Archer,Archer,Archer,Behir,Behir,Behir,Death Knight,Death Knight,Death Knight,Death Knight,,,,New Hope,Knights of Solamnia,Acererak,Volo,Xanathar,,,,,,,
