namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_names,fn_random_names,pn_generic_planets,pn_arid_planets,pn_desert_planets,pn_alpine_planets,pn_continental_planets,pn_savannah_planets,pn_ocean_planets,pn_arctic_planets,pn_tundra_planets,pn_tropical_planets,pn_gaia_planets,sn_generic,sn_corvette,sn_destroyer,sn_frigate,sn_cruiser,sn_battle_cruiser,sn_striker_cruiser,sn_battleship,sn_carrier,sn_dreadnought,sn_titan,sn_flagship,sn_juggernaut,sn_colossus,sn_colonizer,sn_sponsored_colonizer,sn_constructor,sn_exploration_ship,sn_science,sn_transport,sn_headquarters,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_ion_cannon,sn_xl_cannon
Japanese (ONL),osiris,japanese,$ORD$ Kogeki Rikugun,$ORD$ Kuron Rikugun,$ORD$ Gunjinkan Rikugun,$ORD$ Chiryoku Samurai Rikugun,$ORD$ Sangyo Rikugun,$ORD$ Kikai Kogeki Rikugun,$ORD$ Kikai Kogeki Rikugun,$ORD$ Kikai Kogeki Rikugun,$ORD$ Kikai Gunjinkan Rikugun,$ORD$ Chijo-Gun Rikugun,$ORD$ Genshiryoku-Go Rikugun,$ORD$ Genshi Rikugun,$ORD$ Genshiryoku-Go Rikugun,$ORD$ Robotto Rikugun,$ORD$ Robotto Gunjinkan Rikugun,$ORD$ Robotto Chijo-Gun Rikugun,$ORD$ Ashi-Garu Rikugun,$ORD$ Gaki Rikugun,$ORD$ Oni Rikugun,Yui,Hiroshi,Aiko,Jimmu,,Sato,$ORD$ Seikan Kantai,,Tokyo,Nagano,Nagano,Takayama,Kyoto,Sapporo,Yokohama,Wakkanai,Wakkanai,Naha,Horai,,Musashi,Musashi,Musashi,Jimmu,Jimmu,Jimmu,Ryujin,Ryujin,Ryujin,Ryujin,Hachiman,Hachiman,Hachiman,Emperor Jimmu,Emperor Jimmu,Fuji,Tadataka Ino,Tadataka Ino,Heiin Yusoukan,Imperial Headquarters,Kichi,Kichi,Kichi,Dragon,Dragon XL
,,,,,,,,,,,,,,,,,,,,,,Sakura,Kenji,Gemmei,Ojin,,Suzuki,,,Yokohama,Matsumoto,Matsumoto,Matsumoto,Nara,Osaka,Kobe,Abashiri,Abashiri,Ishigaki,Takamagahara,,Oda,Oda,Oda,Suizei,Suizei,Suizei,Suijin,Suijin,Suijin,Suijin,Take-Mikazuchi,Take-Mikazuchi,Take-Mikazuchi,Ama no Iwato,Ama no Iwato,Kita,Takeshiro Matsuura,Takeshiro Matsuura,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Hana,Yuki,Gensho,Nintoku,,Takahashi,,,Osaka,Ueda,Ueda,Nagano,Kanazawa,Tokyo,Fukuoka,Asahikawa,Asahikawa,Miyakojima,Ryugu,,Toyotomi,Toyotomi,Toyotomi,Annei,Annei,Annei,Orochi,Orochi,Orochi,Orochi,Bishamonten,Bishamonten,Bishamonten,Izanagi,Izanagi,Okuhotaka,Hasekura Tsunenaga,Hasekura Tsunenaga,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Aiko,Tetsuya,Jito,Tenji,,Tanaka,,,Nagoya,Shiojiri,Shiojiri,Toyama,Sendai,Chiba,Hiroshima,Kitami,Kitami,Yonaguni,Yomi,,Tokugawa,Tokugawa,Tokugawa,Itoku,Itoku,Itoku,Tatsu,Tatsu,Tatsu,Tatsu,Uka-no-Mitama, Uka-no-Mitama, Uka-no-Mitama,Izanami,Izanami,Aino,Nobu Shirase,Nobu Shirase,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Akiko,Toshiro,Kako,Temmu,,Watanabe,,,Sapporo,Suzaka,Suzaka,Nikko,Hiroshima,Kawasaki,Nagasaki,Sapporo,Sapporo,Zamami,Tsukuyomi's Palace,,Date,Date,Date,Kosho,Kosho,Kosho,Naga,Naga,Naga,Naga,,,,Takeru,Takeru,Yari,Fosco Maraini,Fosco Maraini,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Haruka,Katsuyuki,Kogyoku,Shomu,,Ito,,,Kobe,Komoro,Komoro,Yamanouchi,Okayama,Saitama,Kagoshima,Nayoro,Nayoro,Chichijima,Amano-Iwato,,Takeda,Takeda,Takeda,Koan,Koan,Koan,Uwibami,Uwibami,Uwibami,Uwibami,,,,Yatagarasu,Yatagarasu,Warusawa,Naomi Uemura,Naomi Uemura,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Rina,Daiki,Kojun,Kanmu,,Nakamura,,,Kyoto,Ina,Ina,Hakuba,Himeji,Niigata,Hakodate,Muroran,Muroran,Hahajima,Ashihara no Nakatsukuni,,Uesugi,Uesugi,Uesugi,Korei,Korei,Korei,Fucanglong,Fucanglong,Fucanglong,Fucanglong,,,,Kaguya-hime,Kaguya-hime,Akaishi,Junko Tabei,Junko Tabei,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Yuko,Naoki,Koken,Saga,,Kobayashi,,,Fukuoka,Okaya,Okaya,Kiso,Kobe,Nobeoka,Otaru,Rishiri,Rishiri,Iriomote,Tokoyo,,Honda,Honda,Honda,Kogen,Kogen,Kogen,Kiyohime,Kiyohime,Kiyohime,Kiyohime,,,,,,Shiomi,Keizo Funatsu,Keizo Funatsu,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Ayaka,Kazuya,Mako,Seiwa,,Yamamoto,,,Kawasaki,Chikuma,Chikuma,Fujikawaguchiko,Fukuoka,Tsukuba,Kamakura,Nemuro,Nemuro,Taketomi,Shinkiro,,Kato,Kato,Kato,Kaika,Kaika,Kaika,Mizuchi,Mizuchi,Mizuchi,Mizuchi,,,,,,Kiso Komagatake,Kenichi Horie,Kenichi Horie,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Sayuri,Masaru,Masako,Uda,,Kato,,,Hiroshima,Omachi,Omachi,Minakami,Kumamoto,Toyohashi,Miyazaki,Aomori,Aomori,Ishigaki,Fuji,,Sanada,Sanada,Sanada,Sujin,Sujin,Sujin,Hakuryu,Hakuryu,Hakuryu,Hakuryu,,,,,,Hoken,Yoshihiro Tsurumi,Yoshihiro Tsurumi,,,,,,,
