namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_names,fn_random_names,pn_generic_planets,pn_arid_planets,pn_desert_planets,pn_alpine_planets,pn_continental_planets,pn_savannah_planets,pn_ocean_planets,pn_arctic_planets,pn_tundra_planets,pn_tropical_planets,pn_gaia_planets,sn_generic,sn_corvette,sn_destroyer,sn_frigate,sn_cruiser,sn_battle_cruiser,sn_striker_cruiser,sn_battleship,sn_carrier,sn_dreadnought,sn_titan,sn_flagship,sn_juggernaut,sn_colossus,sn_colonizer,sn_sponsored_colonizer,sn_constructor,sn_exploration_ship,sn_science,sn_transport,sn_headquarters,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_ion_cannon,sn_xl_cannon
Mongolian (ONL),osiris,mongolian,$ORD$ Khar Yamaa Horde,$ORD$ Kotokho Horde,$ORD$ Kharan Oron Suduul Horde,$ORD$ Keshikten Horde,$ORD$ Khelek Horde,$ORD$ Nudraga Khar Yamaa Horde,$ORD$ Nudraga Khar Yamaa Horde,$ORD$ Nudraga Khar Yamaa Horde,$ORD$ Nudraga Kharan Oron Suduul Horde,$ORD$ Darugha Horde,$ORD$ Khelek Horde,$ORD$ Khelek Horde,$ORD$ Khelek Horde,$ORD$ Nudraga Horde,$ORD$ Nudraga Kharan Oron Suduul Horde,$ORD$ Nudraga Darugha Horde,$ORD$ Avarga Horde,$ORD$ Nokhoi Khorlo Horde,$ORD$ Azi Dahaka Horde,Altantsetseg,Altan,Toregene Khatun,Genghis Khan,,Altai,$ORD$ Arvan Khoyor,,Ulaanbaatar,Bukhara,Timbuktu,Arvaikheer,Beijing,Samarkand,Guangzhou,Yakutsk,Yakutsk,Guangzhou,Mandala,Tsets,Ayusi,Ayusi,Ayusi,Abaoji,Abaoji,Abaoji,Daichi Tengri,Daichi Tengri,Daichi Tengri,Daichi Tengri,Tengri,Tengri,Tengri,Atugen,Erdenet Mining Corporation,Burkhan Khaldun,Uchirtai Guru,Uchirtai Guru,Tumen Heleeeree,The Great Enclosure,Khar Balgas,Khot Ail,Keshikten,Kheried,Maydag
,,,,,,,,,,,,,,,,,,,,,,Amarbayasgalan,Altangerel,Sorghaghtani Beki,Ogodei Khan,,Altangerel,,,Erdenet,Samarkand,Cairo,Altai,Hangzhou,Bukhara,Hangzhou,Oymyakon,Oymyakon,Hangzhou,Uch-Sumer,Otsets,Dambadondogiin Baatarjav,Dambadondogiin Baatarjav,Dambadondogiin Baatarjav,Aju,Aju,Aju,Erlik Khan,Erlik Khan,Erlik Khan,Erlik Khan,Koyash,Koyash,Koyash,Bai-Ulgen,MCS Group,Khutuktu,Tsagan Aav,Tsagan Aav,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Amarjargal,Amarbayar,Khutulun,Mongke Khan,,Amgalan,,,Darkhan,Kashgar,Baghdad,Bayankhongor,Kaifeng,Khiva,Quanzhou,Verkhoyansk,Verkhoyansk,Hanoi,Erkhii Mergen Khangai,Bichig Zogsool,Bair Badënov,Bair Badënov,Bair Badënov,Amursana,Amursana,Amursana,Od,Od,Od,Od,Burkhan Khaldun,Burkhan Khaldun,Burkhan Khaldun,Bumba,Tavan Bogd Group,,Tamir Aagii,Tamir Aagii,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Ankhbayar,Amarsanaa,Mandukhai Khatun,Batu Khan,,Amar,,,Choibalsan,Khotan,Aleppo,Bayandalai,Luoyang,Urgench,Fuzhou,Tiksi,Tiksi,Luang Prabang,Bumba Khaldun,Zogsool,Chagdaryne Biambasuren,Chagdaryne Biambasuren,Chagdaryne Biambasuren,Queen Anu,Queen Anu,Queen Anu,Tung-ak,Tung-ak,Tung-ak,Tung-ak,Khan Garid,Khan Garid,Khan Garid,Hangai ,Trade and Development Bank of Mongolia,,Chosgi Odsir,Chosgi Odsir,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Ariunaa,Anand,Queen Toregene Khatun of Khiva,Kublai Khan,,Arslan,,,Khovd,Turpan,Petra,Battsengel,Xi'an,Otrar,Ningbo,Ust-Nera,Ust-Nera,Champasak,Khar Zurkhnii Khukh Nuur ,Bogs Zanbain,Natalia Bolotova,Natalia Bolotova,Natalia Bolotova,Ayusi,Ayusi,Ayusi,Manzasiri Kalmyk,Manzasiri Kalmyk,Manzasiri Kalmyk,Manzasiri Kalmyk,,,,Unegen,Gobi Cashmere,,Yelu Diela,Yelu Diela,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Ayurzana,Ariunbold,Alak Betegina,Ariq Boke,,Avirmed,,,Olgii,Kandahar,Mecca,Delgerkhaan,Chengdu,Bishkek,Zhoushan,Aldan,Aldan,Champa,Horgo,Zanbain,Alexander Dambaev,Alexander Dambaev,Alexander Dambaev,Babur,Babur,Babur,Indra,Indra,Indra,Indra,,,,Khilt,Tavan Tolgoi,,Dorjeban,Dorjeban,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Batbayar,Ariungerel,Gulungul,Subutai,,Badam,,,Sühbaatar,Herat,Medina,Dzunbayan,Nanjing,Kokand,Wenzhou,Tomtor,Tomtor,Saigon,Terelj,Modon Avdag,Natjav Dariimaa,Natjav Dariimaa,Natjav Dariimaa,Baidar,Baidar,Baidar,King Gesar,King Gesar,King Gesar,King Gesar,,,,Khamag,MIAT Mongolian Airlines,,Marco Polo,Marco Polo,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Bayanmunkh,Arslan,Gulnar Hatun,Toregene Khatun,,Baigal,,,Uliastai,Balkh,Riyadh,Galt,Suzhou,Tashkent,Xiamen,Kyubyume,Kyubyume,Phnom Penh,Uvs Nuur,Modon,Tuyana Dashidorzhieva,Tuyana Dashidorzhieva,Tuyana Dashidorzhieva,Baiju Noyan,Baiju Noyan,Baiju Noyan,Jangar,Jangar,Jangar,Jangar,,,,Dorvod,Ard Holdings,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Bayartsetseg,Ayush,Orghana,Guyuk Khan,,Baishin,,,Moron,Merv,Jeddah,Gurvanbulag,Yangzhou,Kashgar,Changle,Chersky,Chersky,Angkor,,Hiidin Magtaal,Natalia Erdyniyeva,Natalia Erdyniyeva,Natalia Erdyniyeva,Bayan of the Baarin,Bayan of the Baarin,Bayan of the Baarin,Guljin,Guljin,Guljin,Guljin,,,,Borte Chono,Newcom Group,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Bayasgalan,Badamkhand,Mandukhai Sechen Khatun,Khubilai Khan,,Bataar,,,Bayankhongor,Nishapur,Damascus,Hovd,Changsha,Khotan,Penglai,Magadan,Magadan,Pattani,,Magtaal,Jantsangiin Gantögs,Jantsangiin Gantögs,Jantsangiin Gantögs,Berke,Berke,Berke,Khorikhumar,Khorikhumar,Khorikhumar,Khorikhumar,,,,Gurvan Mergen,Khan Bank,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Bolor,Badraa,Oghul Qaimish,Hulagu Khan,,Batbold,,,Altai,Rayy,Sana'a,Jargalant,Guangzhou,Turpan,Lianyungang,Anadyr,Anadyr,Malacca,,Zuungar,Inna Stepanova,Inna Stepanova,Inna Stepanova,Bo'orchu,Bo'orchu,Bo'orchu,Kudai Khar,Kudai Khar,Kudai Khar,Kudai Khar,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Boloroo,Badral,Kokotchin,Bayan of the Baarin,,Batdorj,,,Zuunmod,Kerman,Kabul,Jinst,Quanzhou,Karakorum,Qingdao,Nizhnekolymsk,Nizhnekolymsk,Brunei,,Gars Zuu,Balzhinima Tsyrempilov,Balzhinima Tsyrempilov,Balzhinima Tsyrempilov,Borokhula,Borokhula,Borokhula,Mazaalai,Mazaalai,Mazaalai,Mazaalai,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Bolormaa,Bataar,Alaqai Beki,Alghu,,Bayan,,,Bayanhongor,Hamadan,Isfahan,Khatgal,Fuzhou,Hami,Weihai,Uelen,Uelen,Ternate,,Uul,Bishindeegiin Urantungalag,Bishindeegiin Urantungalag,Bishindeegiin Urantungalag,Boroldai,Boroldai,Boroldai,Nokhoi Khorhoi,Nokhoi Khorhoi,Nokhoi Khorhoi,Nokhoi Khorhoi,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Buyanjargal,Batbaatar,Bulugan,Yesun Temur,,Bayaraa,,,Dzuunharaa,Maragheh,Kashan,Khovd,Zhenjiang,Almaty,Tianjin,Egvekinot,Egvekinot,Tidore,,Rasha,Vladimir Yesheyev,Vladimir Yesheyev,Vladimir Yesheyev,Budugen,Budugen,Budugen,Zanabazar,Zanabazar,Zanabazar,Zanabazar,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Buyankhishig,Batbold,Khulan Khatun,Togrog,,Bayarsaikhan,,,Nalaikh,Tabriz,Yazd,Moron,Hanzhong,Karasahr,Dalian,Pevek,Pevek,Tawau,,Hiid,Tsogto Amara,Tsogto Amara,Tsogto Amara,Changling,Changling,Changling,Khangarid,Khangarid,Khangarid,Khangarid,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Chimeg,Batdorj,Kutulun,Yekhe Khagan,,Bayartogtokh,,,Arvaikheer,Mazar-i-Sharif,Kerman,Olgiy,Tongchuan,Aksu,Liaoyang,Srednekolymsk,Srednekolymsk,Semporna,,Magtaal,Danaa Batgerel,Danaa Batgerel,Danaa Batgerel,Chilaun,Chilaun,Chilaun,Abai Geser,Abai Geser,Abai Geser,Abai Geser,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Davaajargal,Batjargal,Sorghaghtani,Bayan Khutugh,,Bilegt,,,Mandalgovi,Bishkek,Bukhara,Tariat,Pingyao,Kucha,Pyongyang,Zyryanka,Zyryanka,Sandakan,,Zangar,Batu Khasikov,Batu Khasikov,Batu Khasikov,Khorloogiin Choibalsan,Khorloogiin Choibalsan,Khorloogiin Choibalsan,Bilge Khan,Bilge Khan,Bilge Khan,Bilge Khan,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Davaasuren,Bayanjargal,Yesui Khatun,Toghan Temur,,Bold,,,Tsetserleg,Khiva,Khiva,Tsetserleg,Datong,Dunhuang,Gaeseong,Chukotsky,Chukotsky,Sulu,,Yagar,Zhang Lipeng,Zhang Lipeng,Zhang Lipeng,Chormaqan,Chormaqan,Chormaqan,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Delgermaa,Bayarsaikhan,Khokhuletiin Gankhuyag,Arigboge,,Bulgan,,,Darhan,Urgench,Ubar,Tudevtei,Taiyuan,Hohhot,Wonsan,Omolon,Omolon,Cotabato,,Zanbain,Jadamba Narantungalag,Jadamba Narantungalag,Jadamba Narantungalag,Yelu Dashi,Yelu Dashi,Yelu Dashi,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Dondog,Bayarzorig,Hoelun,Temur Oljeitu,,Buyandelger,,,Bulgan,Otrar,Palmyra,Ulaanbaatar,Luoyang,Zhangye,Haeju,Susuman,Susuman,Davao,,Modon,Dolgorsürengiin Sumyaabazar,Dolgorsürengiin Sumyaabazar,Dolgorsürengiin Sumyaabazar,Wang Lijun,Wang Lijun,Wang Lijun,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Dorjgotov,Bayinbat,,,,Chuluun,,,,,,,,,,,,,,Zuut Khuur,Zhang Tiequan,Zhang Tiequan,Zhang Tiequan,Hulagu Khan,Hulagu Khan,Hulagu Khan,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Dulamsuren,Bekhbat,,,,Dashdorj,,,,,,,,,,,,,,Jangar,Tsogkhüügiin Udval,Tsogkhüügiin Udval,Tsogkhüügiin Udval,Jebe,Jebe,Jebe,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Enkhjargal,Bilguun,,,,Davaadorj,,,,,,,,,,,,,,Bukh,Khasikov,Khasikov,Khasikov,Jelme,Jelme,Jelme,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Enkhtuya,Bold,,,,Delgermaa,,,,,,,,,,,,,,Khev,Sangidorjiin Adilbish,Sangidorjiin Adilbish,Sangidorjiin Adilbish,Jochi,Jochi,Jochi,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Erdenetuya,Boldbaatar,,,,Dorj,,,,,,,,,,,,,,Tuuz,Byambajavyn Altantsetseg,Byambajavyn Altantsetseg,Byambajavyn Altantsetseg,Kadan,Kadan,Kadan,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Galbadrakh,Boldbat,,,,Dulguun,,,,,,,,,,,,,,Doloon Tuuz,Zorigtyn Batkhuyag,Zorigtyn Batkhuyag,Zorigtyn Batkhuyag,Kebineng,Kebineng,Kebineng,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Gantulga,Bolortsetseg,,,,Enkh,,,,,,,,,,,,,,Hosoo Gunig,Yondonjamtsyn Batsükh,Yondonjamtsyn Batsükh,Yondonjamtsyn Batsükh,Batu Khan,Batu Khan,Batu Khan,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Gerelmaa,Buyan,,,,Enkhtur,,,,,,,,,,,,,,Hosoo,Nyantain Bayaraa,Nyantain Bayaraa,Nyantain Bayaraa,Nogai Khan,Nogai Khan,Nogai Khan,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Gurbadam,Buyan-Ochir,,,,Erdene,,,,,,,,,,,,,,Bulten,Enkhtaivany Davaakhüü,Enkhtaivany Davaakhüü,Enkhtaivany Davaakhüü,Khatanbaatar Magsarjav,Khatanbaatar Magsarjav,Khatanbaatar Magsarjav,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Gurbol,Buyandelger,,,,Ganbold,,,,,,,,,,,,,,Shuriken,Lkhamjavyn Dekhlee,Lkhamjavyn Dekhlee,Lkhamjavyn Dekhlee,Kitbuqa,Kitbuqa,Kitbuqa,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Jargalmaa,Buyanjargal,,,,Gantulga,,,,,,,,,,,,,,,Dorjsürengiin Mönkhbayar,Dorjsürengiin Mönkhbayar,Dorjsürengiin Mönkhbayar,Kutlushah,Kutlushah,Kutlushah,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Javkhlan,Chimeddorj,,,,Garidmagnai,,,,,,,,,,,,,,,Zandraa Ganbaatar,Zandraa Ganbaatar,Zandraa Ganbaatar,Mamay,Mamay,Mamay,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Javzmaa,Chimedtseren,,,,Gombo,,,,,,,,,,,,,,,Otryadyn Gündegmaa,Otryadyn Gündegmaa,Otryadyn Gündegmaa,Bodonchar Munkhag,Bodonchar Munkhag,Bodonchar Munkhag,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Khaliunaa,Chinzorig,,,,Gonchig,,,,,,,,,,,,,,,Mendbayaryn Jantsankhorloo,Mendbayaryn Jantsankhorloo,Mendbayaryn Jantsankhorloo,Yujiulu Mugulu,Yujiulu Mugulu,Yujiulu Mugulu,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Khaliunbold,Dagvadorj,,,,Jambal,,,,,,,,,,,,,,,Tsogbadrakhyn Mönkhzul,Tsogbadrakhyn Mönkhzul,Tsogbadrakhyn Mönkhzul,Muqali,Muqali,Muqali,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Khaliunjav,Dashdorj,,,,Jargal,,,,,,,,,,,,,,,Tüdeviin Myagmarjav,Tüdeviin Myagmarjav,Tüdeviin Myagmarjav,Negudar,Negudar,Negudar,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Khangai,Dashdulam,,,,Javkhlan,,,,,,,,,,,,,,,Gankhuyag Nandinzaya,Gankhuyag Nandinzaya,Gankhuyag Nandinzaya,Sali Noyan,Sali Noyan,Sali Noyan,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Khishigbayar,Delger,,,,Jigjidsuren,,,,,,,,,,,,,,,Semyon Nomokonov,Semyon Nomokonov,Semyon Nomokonov,Qasar,Qasar,Qasar,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Khorloo,Dondog,,,,Khadkaa,,,,,,,,,,,,,,,Tserenjavyn Ölziibayar,Tserenjavyn Ölziibayar,Tserenjavyn Ölziibayar,Qishan,Qishan,Qishan,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lkhagvajargal,Dorj,,,,Khaliun,,,,,,,,,,,,,,,Tüvdiin Tserendondov,Tüvdiin Tserendondov,Tüvdiin Tserendondov,Lu Pi,Lu Pi,Lu Pi,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lkhagvasuren,Dorjpalam,,,,Khaltmaa,,,,,,,,,,,,,,,Lkhagvaagiin Undralbat,Lkhagvaagiin Undralbat,Lkhagvaagiin Undralbat,Samagar,Samagar,Samagar,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lkhagvazaya,Dorjsuren,,,,Khand,,,,,,,,,,,,,,,Oyuunbatyn Yesügen,Oyuunbatyn Yesügen,Oyuunbatyn Yesügen,Sengge Rinchen,Sengge Rinchen,Sengge Rinchen,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lkhamaa,Dulguun,,,,Khangarid,,,,,,,,,,,,,,,Gantulgyn Altanbagana,Gantulgyn Altanbagana,Gantulgyn Altanbagana,Yujiulu Shelun,Yujiulu Shelun,Yujiulu Shelun,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Luvsanbat,Enkh-Amgalan,,,,Khash-Erdene,,,,,,,,,,,,,,,Dashdavaagiin Amartüvshin,Dashdavaagiin Amartüvshin,Dashdavaagiin Amartüvshin,Yuwen Tai,Yuwen Tai,Yuwen Tai,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Munkhbayar,Enkhbat,,,,Khishig,,,,,,,,,,,,,,,Enkhtaivany Ariunbold,Enkhtaivany Ariunbold,Enkhtaivany Ariunbold,Shiregi,Shiregi,Shiregi,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Munkhjargal,Enkhbold,,,,Khurelbaatar,,,,,,,,,,,,,,,Bat-Erdene,Bat-Erdene,Bat-Erdene,Li Shouxin,Li Shouxin,Li Shouxin,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Munkhtsetseg,Enkhjargal,,,,Lhagvasuren,,,,,,,,,,,,,,,Tümen-Odyn Battögs,Tümen-Odyn Battögs,Tümen-Odyn Battögs,Songyun,Songyun,Songyun,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Narangerel,Enkhmunkh,,,,Luvsan,,,,,,,,,,,,,,,Dashgombyn Battulga,Dashgombyn Battulga,Dashgombyn Battulga,Subutai,Subutai,Subutai,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Naranzaya,Enkhtulga,,,,Mendbayar,,,,,,,,,,,,,,,Ganbatyn Boldbaatar,Ganbatyn Boldbaatar,Ganbatyn Boldbaatar,Damdin Sukhbaatar,Damdin Sukhbaatar,Damdin Sukhbaatar,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Naranjargal,Erden,,,,Munkh,,,,,,,,,,,,,,,Khaliuny Boldbaatar,Khaliuny Boldbaatar,Khaliuny Boldbaatar,Chaghan Temur,Chaghan Temur,Chaghan Temur,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Nomin,Erdenbat,,,,Naranbaatar,,,,,,,,,,,,,,,Mönkhbaataryn Bundmaa,Mönkhbaataryn Bundmaa,Mönkhbaataryn Bundmaa,Timur,Timur,Timur,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Nomin-Erdene,Erdenet,,,,Narangerel,,,,,,,,,,,,,,,Tsendiin Damdin,Tsendiin Damdin,Tsendiin Damdin,Toqta,Toqta,Toqta,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Nominjin,Galbadrakh,,,,Nomun,,,,,,,,,,,,,,,Gantömöriin Dashdavaa,Gantömöriin Dashdavaa,Gantömöriin Dashdavaa,Bai Wenqi,Bai Wenqi,Bai Wenqi,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Odontuya,Ganbaatar,,,,Nymkaa,,,,,,,,,,,,,,,Ravdangiin Davaadalai,Ravdangiin Davaadalai,Ravdangiin Davaadalai,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Oyun,Ganbold,,,,Nyam-Osor,,,,,,,,,,,,,,,Erdene-Ochiryn Dolgormaa,Erdene-Ochiryn Dolgormaa,Erdene-Ochiryn Dolgormaa,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Oyuntsetseg,Ganzorig,,,,Nyamkhuu,,,,,,,,,,,,,,,Ölziibayaryn Düürenbayar,Ölziibayaryn Düürenbayar,Ölziibayaryn Düürenbayar,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Oyuntuya,Gombosuren,,,,Ochir,,,,,,,,,,,,,,,Khishigbatyn Erdenet-Od,Khishigbatyn Erdenet-Od,Khishigbatyn Erdenet-Od,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Purev,Janchiv,,,,Odon,,,,,,,,,,,,,,,Pürevjargalyn Lkhamdegd,Pürevjargalyn Lkhamdegd,Pürevjargalyn Lkhamdegd,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Purevdorj,Jargal,,,,Oyun,,,,,,,,,,,,,,,Baldorjyn Möngönchimeg,Baldorjyn Möngönchimeg,Baldorjyn Möngönchimeg,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Purevjargal,Javkhlantugs,,,,Purev,,,,,,,,,,,,,,,Tsedevsürengiin Mönkhzayaa,Tsedevsürengiin Mönkhzayaa,Tsedevsürengiin Mönkhzayaa,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Sainbayar,Javkhlan,,,,Radnaa,,,,,,,,,,,,,,,Tsend-Ayuushiin Naranjargal,Tsend-Ayuushiin Naranjargal,Tsend-Ayuushiin Naranjargal,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Sainkhuu,Javkhlanbaatar,,,,Sandag,,,,,,,,,,,,,,,Dorjpalamyn Narmandakh,Dorjpalamyn Narmandakh,Dorjpalamyn Narmandakh,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Sainkhuugiin,Khaliun,,,,Sarnai,,,,,,,,,,,,,,,Damdinsürengiin Nyamkhüü,Damdinsürengiin Nyamkhüü,Damdinsürengiin Nyamkhüü,,,,,,,,,,,,,,,,,,,,,,
