namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_names,fn_random_names,pn_alpine_planets,pn_arctic_planets,pn_arid_planets,pn_continental_planets,pn_desert_planets,pn_gaia_planets,pn_generic_planets,pn_ocean_planets,pn_savannah_planets,pn_tropical_planets,pn_tundra_planets,sn_battle_cruiser,sn_battleship,sn_carrier,sn_colonizer,sn_colossus,sn_constructor,sn_corvette,sn_cruiser,sn_destroyer,sn_dreadnought,sn_exploration_ship,sn_flagship,sn_frigate,sn_generic,sn_headquarters,sn_ion_cannon,sn_juggernaut,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_science,sn_sponsored_colonizer,sn_strike_cruiser,sn_titan,sn_transport,sn_xl_cannon
Nature-Modern (ONL),osiris,natmodern,$ORD$ Emancipation Force,$ORD$ Replicant Peacekeepers,$ORD$ Protection Force,$ORD$ Special Peacekeeper Force,$ORD$ Corporate Peacekeeper Force,$ORD$ Mechanized Peacekeepers,$ORD$ Mechanized Peacekeepers,$ORD$ Mechanized Peacekeepers,$ORD$ Mechanized Protection Force,$ORD$ Peacekeeper Garrison,$ORD$ Peacekeepers,$ORD$ Peacekeeping Conscripts,$ORD$ Psi-Ops Peacekeepers,$ORD$ Automated Peacekeepers,$ORD$ Automated Protectors,$ORD$ Automated Peacekeeper Garrison,$ORD$ Peacekeeping Conscripts,,$ORD$ Xeno-Peacekeepers,Mia,Leo,Anna Botsford Comstock,Alexander von Humboldt,,Smith,$ORD$ Armada,,Munich,Murmansk,Riyadh,Tokyo,Riyadh,Atlantis,Tokyo,Jakarta,Lagos,Jakarta,Murmansk,Falcon,Crocodile,Servals,Wildebeest,Hurricane,Beaver,Tarantula,Rattlesnake,Shrew,Thresher,Dolphin,Cyclone,Locust,Gazelle,,Spitting Cobra,Cyclone,,,,Dolphin,,Buzzard,Puma,,Spitting Cobra
,,,,,,,,,,,,,,,,,,,,,,Sofia,Noah,Barbara McClintock,Alfred Russel Wallace,,Johnson,,,Milan,Norilsk,Lima,Seoul,Karachi,Asgard,Delhi,Tokyo,Accra,Manila,Norilsk,Steppe Eagle,Orca,Alligator,Ant,Typhoon,Otter,Black Widow,Crowned Eagle,Uromastyx,Cheetah,Humpback,Typhoon,Carribou,Oryx,,Archerfish,Avalanche,,,,Bonobo,,Caracara,Ocelot,,Archerfish
,,,,,,,,,,,,,,,,,,,,,,Charlotte,Ethan,Caroline Herschel,Charles Darwin,,Lee,,,Zurich,Vorkuta,Jeddah,Shanghai,Baghdad,Avalon,Shanghai,Manila,Abidjan,Sao Paulo,Vorkuta,Death Adder,Hammerhead,Cougar,Termite,Cyclone,Termite,Mosquito,Moray,Chameleon,Ocelot,Beluga,Avalanche,Mongoose,Pigeon,,,Typhoon,,,,Octopus,,Osprey,Servals,,
,,,,,,,,,,,,,,,,,,,,,,Emma,Samuel,Dian Fossey,Charles Lyell,,Kim,,,Vienna,Salekhard,Mecca,Beijing,Tehran,El Dorado,Sao Paulo,Taipei,Nairobi,Mumbai,Naryan-Mar,Sparrowhawk,Bobcat,Jaguar,Bat,Avalanche,Weaver,Scarab,Black Mamba,Fire Ant,Crocodile,Pilot,Thunderstorm,Skink,Dove,,,Tsunami,,,,Raven,,Kite,Sevengill,,
,,,,,,,,,,,,,,,,,,,,,,Amelia,Oscar,Dorothy Hodgkin,David Attenborough,,Garcia,,,Turin,Severodvinsk,Tehran,Istanbul,Dubai,Shambhala,Mumbai,Hanoi,Kumasi,Delhi,Salekhard,Eagle,Thresher,Margay,Penguin,Blizzard,Mailee,Wasp,Kestrel,Mongoose,Leopard,Narwhal,Tsunami,Fire Ant,Sparrow,,,Hurricane,,,,,,Hawk,Kodiak,,
,,,,,,,,,,,,,,,,,,,,,,Isabella,Adam,Edith Coleman,David Starr Jordan,,Martinez,,,Geneva,Yakutsk,Mashhad,Moscow,Dammam,Hy-Brasil,Beijing,Singapore,Dar es Salaam,Dhaka,Dudinka,Marlin,Wobbegong,Orca,Flamingo,Tornado,Orb-Weaver,Hornet,Vulture,Arctic Fox,Alligator,Bowhead,Blizzard,Jellyfish,Robin,,,Tornado,,,,,,Owl,Great White,,
,,,,,,,,,,,,,,,,,,,,,,Luna,Xavier,Elisabeth Kübler-Ross,E. O. Wilson,,Jones,,,Innsbruck,Archangelsk,Medina,Madrid,Jeddah,Xanadu,Osaka,Hong Kong,Dakar,Karachi,Novy Urengoy,Vulture,Komodo,Cheetah,Prarie Dog,Tsunami,Prairee Dog,Yellowjacket,Marlin,Dragonfly,Great White,Squirrel,Tornado,Chuckwalla,Blue Jay,,,Blizzard,,,,,,Falcon,Crocodile,,
,,,,,,,,,,,,,,,,,,,,,,Aurora,Kai,Ellen Swallow Richards,Ernst Haeckel,,Nguyen,,,Grenoble,Hammerfest,Sanaa,Tehran,Casablanca,Agartha,Cairo,Saint Petersburg,Lusaka,Lagos,Apatity,Chimaera,Ocelot,Ocelot,Meerkat,Thunderstorm,Acromyrmex,Centipede,Steppe Eagle,Coyote,Sevengill,Chipmunk,Hurricane,Centipede,Hummingbird,,,Thunderstorm,,,,,,Krait,Warthog,,
,,,,,,,,,,,,,,,,,,,,,,Scarlett,Luca,Emlen Physick Weaver,Georges Cuvier,,Davis,,,Bolzano,Tromsø,Dubai,Barcelona,Alexandria,Tir Na Nog,Dhaka,Sapporo,Conakry,Kolkata,Usinsk,Kite,Alligator,Wobbegong,Swan,,Atta,Lanternfly,Krait,Black Widow,Blacktip,Hamster,,Martens,Pelican,,,,,,,,,Viper,Margay,,
,,,,,,,,,,,,,,,,,,,,,,Lily,Natan,Esther Lederberg,Gilbert White,,Rodriguez,,,Salzburg,Kirkenes,Baghdad,Rome,Algiers,Penglai,Karachi,Batam,Brazzaville,Kinshasa,Tiksi,Buzzard,Margay,Blacktip,Zebra,,Caddisfly,Moth,Hawk,Ant,Bobcat,Gerbil,,Gazelle,Stork,,,,,,,,,Piranha,Jaguar,,
