namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_names,fn_random_names,pn_alpine_planets,pn_arctic_planets,pn_arid_planets,pn_continental_planets,pn_desert_planets,pn_gaia_planets,pn_generic_planets,pn_ocean_planets,pn_savannah_planets,pn_tropical_planets,pn_tundra_planets,sn_battle_cruiser,sn_battleship,sn_carrier,sn_colonizer,sn_colossus,sn_constructor,sn_corvette,sn_cruiser,sn_destroyer,sn_dreadnought,sn_exploration_ship,sn_flagship,sn_frigate,sn_generic,sn_headquarters,sn_ion_cannon,sn_juggernaut,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_science,sn_sponsored_colonizer,sn_strike_cruiser,sn_titan,sn_transport,sn_xl_cannon
Nature (ONL),osiris,nature,Eco Assault Army $C$,Eco Clone Army $C$,Eco Defense Army $C$,Eco Gene Warrior Army $C$,Eco Industrial Army $C$,Eco Machine Assault $C$,Eco Machine Assault $C$,Eco Machine Assault $C$,Eco Machine Defense $C$,Eco Occupation Army $C$,Eco Postatomic Army $C$,Eco Primitive Army $C$,Eco Psionic Army $C$,Eco Robotic Army $C$,Eco Robotic Defense Army $C$,Eco Robotic Occupation Army $C$,Eco Slave Army $C$,Eco Undead Army $C$,Eco Xenomorph Army $C$,Rachel,Charles,Anna Botsford Comstock,Alexander von Humboldt,,Darwin,Eco Fleet $C$,,Himalaya,Baffin,Negev,Sherwood,Sahara,Wulingyuan,,Tasman,Kaaimans,Amazon,Asgard,Falcon,Crocodile,Servals,Wildebeest,Hurricane,Beaver,Tarantula,Rattlesnake,Shrew,Thresher,Dolphin,Cyclone,Locust,Gazelle,,Spitting Cobra,Cyclone,,,,Dolphin,,Buzzard,Puma,,Spitting Cobra
,,,,,,,,,,,,,,,,,,,,,,Jane,David,Barbara McClintock,Alfred Russel Wallace,,Attenborough,,,Atlas,Chukchi,Gobi,Jasmund,Gobi,Aurora,,Mediterranea,Tugela,Congo Basin,Amundsen,Steppe Eagle,Orca,Alligator,Ant,Typhoon,Otter,Black Widow,Crowned Eagle,Uromastyx,Cheetah,Humpback,Typhoon,Carribou,Oryx,,Archerfish,Avalanche,,,,Bonobo,,Caracara,Ocelot,,Archerfish
,,,,,,,,,,,,,,,,,,,,,,Dian,Alexander,Caroline Herschel,Charles Darwin,,Audubon,,,Sinai,Kara,Arabia,Epping,Great Victoria,Wadi Rum,,Okhotsk,Murchison,Sundarbans,Victoria,Death Adder,Hammerhead,Cougar,Termite,Cyclone,Termite,Mosquito,Moray,Chameleon,Ocelot,Beluga,Avalanche,Mongoose,Pigeon,,,Typhoon,,,,Octopus,,Osprey,Servals,,
,,,,,,,,,,,,,,,,,,,,,,Maria,Henry,Dian Fossey,Charles Lyell,,Humboldt,,,Drakensburg,Laptev,Thar,Harz,Arabia,Niagra,,Caribbea,Okavango,Daintree,Pechora,Sparrowhawk,Bobcat,Jaguar,Bat,Avalanche,Weaver,Scarab,Black Mamba,Fire Ant,Crocodile,Pilot,Thunderstorm,Skink,Dove,,,Tsunami,,,,Raven,,Kite,Sevengill,,
,,,,,,,,,,,,,,,,,,,,,,Mary,John,Dorothy Hodgkin,David Attenborough,,Linnaeus,,,Caucasus,Taku,Sonoran,Daintree,Kalahari,Banf,,Andaman,Ngorongoro,Bwindi,Boothia,Eagle,Thresher,Margay,Penguin,Blizzard,Mailee,Wasp,Kestrel,Mongoose,Leopard,Narwhal,Tsunami,Fire Ant,Sparrow,,,Hurricane,,,,,,Hawk,Kodiak,,
,,,,,,,,,,,,,,,,,,,,,,Susan,Alfred,Edith Coleman,David Starr Jordan,,Wallace,,,Karakoram,Beaufort,Mojave,Bialowieza,Mojave,Torres del Paine,,Philippine,Serengeti,Sinharaja,Laptev,Marlin,Wobbegong,Orca,Flamingo,Tornado,Orb-Weaver,Hornet,Vulture,Arctic Fox,Alligator,Bowhead,Blizzard,Jellyfish,Robin,,,Tornado,,,,,,Owl,Great White,,
,,,,,,,,,,,,,,,,,,,,,,Henrietta,Thomas,Elisabeth Kübler-Ross,E. O. Wilson,,Cousteau,,,Kunlun,Boothia,Namib,Ardenne,Atacama,Siwa,,Atlantia,Kilimanjaro,Belum-Temengor,Hubbard,Vulture,Komodo,Cheetah,Prarie Dog,Tsunami,Prairee Dog,Yellowjacket,Marlin,Dragonfly,Great White,Squirrel,Tornado,Chuckwalla,Blue Jay,,,Blizzard,,,,,,Falcon,Crocodile,,
,,,,,,,,,,,,,,,,,,,,,,Joan,Joseph,Ellen Swallow Richards,Ernst Haeckel,,Carson,,,Pamir,Pechora,Great Basin,Trossachs,Gibson,Iguazu,,Coral,Sossusvlei,Kinabalu,Bothnia,Chimaera,Ocelot,Ocelot,Meerkat,Thunderstorm,Acromyrmex,Centipede,Steppe Eagle,Coyote,Sevengill,Chipmunk,Hurricane,Centipede,Hummingbird,,,Thunderstorm,,,,,,Krait,Warthog,,
,,,,,,,,,,,,,,,,,,,,,,Anna,William,Emlen Physick Weaver,Georges Cuvier,,Muir,,,Ural,Bothnia,Great Victoria,Broceliande,Simpson,Patagonia,,Pacifica,Brandberg,Taman Negara,Helheim,Kite,Alligator,Wobbegong,Swan,,Atta,Lanternfly,Krait,Black Widow,Blacktip,Hamster,,Martens,Pelican,,,,,,,,,Viper,Margay,,
,,,,,,,,,,,,,,,,,,,,,,Maeve,George,Esther Lederberg,Gilbert White,,Leakey,,,Appalachia,Amundsen,Chihuahuan,Hoge Veluwe,Great Basin,Yosemite,,Weddell,Etosha Pan,Hoh,Beaufort,Buzzard,Margay,Blacktip,Zebra,,Caddisfly,Moth,Hawk,Ant,Bobcat,Gerbil,,Gazelle,Stork,,,,,,,,,Piranha,Jaguar,,
,,,,,,,,,,,,,,,,,,,,,,Sylvia,Robert,Ethel Brilliana Tweedie,Henry David Thoreau,,Goodall,,,Carpathia,Fundy,Kalahari,Vosges,Chihuahuan,Everest,,Ross,Augrabies,Danum Valley,Jakobshavn,Moray,Caracal,Mako,,,,Scorpion,Golden Eagle,Grasshopper,Margay,,,Ant,Flamingo,,,,,,,,,Seriema,Grizzly,,
