namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_names,fn_random_names,pn_generic_planets,pn_arid_planets,pn_desert_planets,pn_alpine_planets,pn_continental_planets,pn_savannah_planets,pn_ocean_planets,pn_arctic_planets,pn_tundra_planets,pn_tropical_planets,pn_gaia_planets,sn_generic,sn_corvette,sn_destroyer,sn_frigate,sn_cruiser,sn_battle_cruiser,sn_striker_cruiser,sn_battleship,sn_carrier,sn_dreadnought,sn_titan,sn_flagship,sn_juggernaut,sn_colossus,sn_colonizer,sn_sponsored_colonizer,sn_constructor,sn_exploration_ship,sn_science,sn_transport,sn_headquarters,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_ion_cannon,sn_xl_cannon
Pirates (ONL),osiris,pirates,$ORD$ Buccaneers,$ORD$ Powder Monkeys,$ORD$ Corsairs,$ORD$ Space Dogs,$ORD$ Privateers,$ORD$ Mech Dogs,$ORD$ Mech Dogs,$ORD$ Mech Dogs,$ORD$ Mech Dog Garrison,$ORD$ Landlubbers,$ORD$ Buccaneers,$ORD$ Powder Boys,$ORD$ Mind Screwers,$ORD$ Robo Dogs,$ORD$ Robo Dog Defenders,$ORD$ Robo Dag Garrison,$ORD$ Barbary Pirates,$ORD$ Davy Jones' Boys,$ORD$ Kraken Boys,Anne,William,Anne Bonny,Edward Teach,,Blackwood,The Brethren,,Port Royal,Port Royal,Timbuktu,St. Moritz,Bristol,Savannah,Tortuga,Barrow,Barrow,Port Royal,Cartagena,Revenge's Pride,Sea Sprite,Sea Sprite,Sea Sprite,Leviathan's Wrath,Leviathan's Wrath,Leviathan's Wrath,Revenge,Revenge,Revenge,Revenge,Queen Anne's Revenge,Queen Anne's Revenge,Queen Anne's Revenge,Nassau's Pride,Nassau's Pride,Lafitte's Engineers,Dampier,Dampier,The Revenge,Pirate's Haven,Citadel,Castle,Fort,Carronade,Great Carronade
,,,,,,,,,,,,,,,,,,,,,,Grace,Henry,Mary Read,William Kidd,,Drake,Spacer Gang,,Tortuga,Nassau,Palmyra,Zermatt,Plymouth,Charleston,Port Royal,Longyearbyen,Longyearbyen,Nassau,Dubrovnik,Black Viper,Blackfin,Blackfin,Blackfin,Dreadnought,Dreadnought,Dreadnought,Whidah Gally,Whydah Gally,Whydah Gally,Whydah Gally,Black Pearl,Black Pearl,Black Pearl,Port Royal's Bounty,Port Royal's Bounty,Morgan's Masons,Bartholomew Sharp,Bartholomew Sharp,The Fancy,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Mary,James,Anne Dieu-le-Veut,Bartholomew Roberts,,Silver,Planet Pillagers,,Nassau,Tortuga,Jaisalmer,Chamonix,Newport,Beaufort,Nassau,Nuuk,Nuuk,Tortuga,Kotor,Sea Serpent,Stormchaser,Stormchaser,Stormchaser,Stormreaver,Stormreaver,Stormreaver,Golden Hind,Golden Hind,Golden Hind,Golden Hind,Jolly Roger,Jolly Roger,Jolly Roger,Spirit of Tortuga,Spirit of Tortuga,Bellamy's Builders,Francis Drake,Francis Drake,The Speaker,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Charlotte,Benjamin,Fanny Campbell,Henry Morgan,,Morgan,The Wreckers,,Barataria Bay,Portobelo,Tombstone,Gstaad,Galway,Georgetown,Portobelo,Murmansk,Murmansk,Port Antonio,Paraty,Shadowhawk,Shadow Dancer,Shadow Dancer,Shadow Dancer,Shadowstorm,Shadowstorm,Shadowstorm,Adventure Galley,Adventure Galley,Adventure Galley,Adventure Galley,Morning Star,Morning Star,Morning Star,Madagascar's Heart,Madagascar's Heart,Roberval's Renown,Edward Low,Edward Low,The Charles II,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Elizabeth,Edward,Rachel Wall,Jean Lafitte,,Flint,The Brethren of the Stars,,Madagascar,San Felipe de Barajas,Ouarzazate,Grindelwald,Portobelo,St. Augustine,Port Royal,Nome,Nome,Maracaibo,Falmouth,Stormrider,Rogue Wave,Rogue Wave,Rogue Wave,Thunderous Titan,Thunderous Titan,Thunderous Titan,Royal Fortune,Royal Fortune,Royal Fortune,Royal Fortune,Hispaniola,Hispaniola,Hispaniola,The Ocracoke,The Ocracoke,The Barataria,La Buse,La Buse,Galley,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Anne Bonny,John,Jeanne de Clisson,Calico Jack Rackham,,Roberts,The Corsair Coalition,,Portobelo,Tripoli,Almería,Interlaken,Annapolis,Port Royal,Isla de Muerta,Icehaven,Icehaven,Tortage,Oia,Tempest's Fury,Swiftwind,Swiftwind,Swiftwind,Ironclad Fury,Ironclad Fury,Ironclad Fury,Fancy,Fancy,Fancy,Fancy,,,,Dream of Libertatia,Dream of Libertatia,The France-Roy,Coxon,Coxon,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Rachel,Charles,Charlotte de Berry,Charles Vane,,Bonny,The Star Raiders,,Ocracoke Island,Algiers,Bikaner,Innsbruck,Port Royal,Nassau,Shipwreck Island,Frostholm,Frostholm,Saint Marie,Roche Harbor,Bloodhawk,Midnight Pearl,Midnight Pearl,Midnight Pearl,Sea Serpent's Fury,Sea Serpent's Fury,Sea Serpent's Fury,Revenge,Revenge,Revenge,Revenge,,,,,,,Cook,Cook,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Jeanne,Thomas,Grace O'Malley,François l'Olonnais,,Kidd,The Shadow Syndicate,,St. Mary's Island,Mogadishu,Yazd,Kitzbühel,Nassau,Tortuga,Skull Island,Frostfangs,Frostfangs,Puerto Perdido,St. Ives,Dark Corsair,Viper's Kiss,Viper's Kiss,Viper's Kiss,Blackbeard's Revenge,Blackbeard's Revenge,Blackbeard's Revenge,Royal James,Royal James,Royal James,Royal James,,,,,,,Gow,Gow,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Morgan,Samuel,Cheng I Sao,Edward Low,,Rackham,The Tempest Armada,,Algiers,Rabat,Tozeur,Megève,Port Washington,Port Maria,Isle of the Damned,Frostbite Falls,Frostbite Falls,Isla Tesoro,St. George's,Crimson Tide,Thunderbolt,Thunderbolt,Thunderbolt,Tempest's Fury,Tempest's Fury,Tempest's Fury,Adventure,Adventure,Adventure,Adventure,,,,,,,Lowther,Lowther,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Isabella,David,Sayyida al Hurra,Henry Avery,,Teach,The Marauder's Alliance,,Tortage,Aden,Broken Hill,Cortina d'Ampezzo,Port Royal,Port Antonio,Isla Nublar,Frozen Wastes,Frozen Wastes,Port Royal,Portofino,Nightfall,Dark Serpent,Dark Serpent,Dark Serpent,Viper's Fang,Viper's Fang,Viper's Fang,Ranger,Ranger,Ranger,Ranger,,,,,,,Hawkins,Hawkins,,,,,,,
