namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_names,fn_random_names,pn_generic_planets,pn_arid_planets,pn_desert_planets,pn_alpine_planets,pn_continental_planets,pn_savannah_planets,pn_ocean_planets,pn_arctic_planets,pn_tundra_planets,pn_tropical_planets,pn_gaia_planets,sn_generic,sn_corvette,sn_destroyer,sn_frigate,sn_cruiser,sn_battle_cruiser,sn_striker_cruiser,sn_battleship,sn_carrier,sn_dreadnought,sn_titan,sn_flagship,sn_juggernaut,sn_colossus,sn_colonizer,sn_sponsored_colonizer,sn_constructor,sn_exploration_ship,sn_science,sn_transport,sn_headquarters,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_ion_cannon,sn_xl_cannon
Sci-Fi Video Games (ONL),osiris,sf_vg_mashup,$ORD$ Marine Army,$ORD$ Clone Army,$ORD$ Marine Garrison,$ORD$ Spartan Army,$ORD$ Mechanicus Army,$ORD$ Geth Assault Force,$ORD$ Geth Assault Force,$ORD$ Geth Assault Force,$ORD$ Geth Garrison,$ORD$ Marine Peacekeepers,$ORD$ Marine Army,$ORD$ Battlemasters,$ORD$ Adept Army,$ORD$ Sentinel Army,$ORD$ Sentinel Garrison,$ORD$ Sentinel Garrison,$ORD$ Conscript Army,$ORD$ Thrall Army,$ORD$ Xenomorph Army,Aela,Adam,Lara Croft,Nathan Drake,,Shepard,$ORD$ Battle Group,,Nexus City,Tatooine,Tatooine,Skyrim,Rivendell,Serengeti,Coral Reef,Frostholm,Frostholm,Paradise Isles,Eden's Bliss,Bad Moon Rising,Gladius,Prowler,Legionnaire,Retaliator,Retaliator,Retaliator,Bengal,Bengal,Bengal,Bengal,Behemoth,Behemoth,Behemoth,Dartmouth,Misrah Armory,MPUV-1C,Ursa,,Legionnaire,Arcturus Station,Citadel,Orbital Defense Station,Orbital Defense Platform,Thanix,Thanix XL
,,,,,,,,,,,,,,,,,,,,,,Ada,Alex,Samus Aran,Kratos,,Aran,,,Starlight Plaza,Arrakis,Arrakis,Solitude,Greenhaven,Grasslands,Abyssal Depths,Icewind,Icewind,Palm Grove,Serenity Cove,Bucephalus,Gladius Pirate,Vanguard Hoplite,Eclipse,Hammerhead,Hammerhead,Hammerhead,Liberator,Liberator,Liberator,Liberator,Midway,Midway,Midway,Phoenix,Cerberus,ROC-DS,Ursa Fortuna,,Spartan,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Aela,Aric,Faith Connors,Ezio Auditore,,Croft,,,Grand Central,Jakku,Jakku,High Hrothgar,Summerfield,Savanna,Mariana Trench,Snowpeak,Snowpeak,Coral Bay,Elysian Fields,Eclipse,Gladius Valiant,Cutlass Steel,Vanguard Harbinger,Perseus,Perseus,Perseus,Kraken Privateer,Kraken Privateer,Kraken Privateer,Kraken Privateer,Indomitable,Indomitable,Indomitable,Spirit of Fire,ExoGeni Corporation,SRV,C8 Pisces,,MULE,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Aria,Asher,Alyx Vance,Geralt of Rivia,,Vance,,,Everforge,Mercury,Mercury,Everest,Willowbrook,Pampas,Great Barrier,Frostbite,Frostbite,Sunhaven,Radiant Haven,Black Widow,Sabre,Redeemer,Gladiator,Polaris,Polaris,Polaris,Kraken,Kraken,Kraken,Kraken,Nyx,Nyx,Nyx,Skidbladnir,Binary Helix,Nomad,C8X Pisces Expedition,,STV,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Ava,Atlas,Liara T'Soni,Solid Snake,,T'Soni,,,Avalon Heights,Mars,Mars,Grizzleheim,Ashwood,Steppe,Atlantis,Glacial Valley,Glacial Valley,Tropical Haven,Enchanted Isle,Ghost Flag,Sabre Comet,Valkyrie,A1 Spirit,Galaxy,Galaxy,Galaxy,Epoch,Epoch,Epoch,Epoch,Wyvern,Wyvern,Wyvern,,Core Dynamics,Prospector,Freelancer DUR,,Lynx,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Ayra,Axel,Ada Wong,Adam Jensen,,Wong,,,Victory Square,Geonosis,Geonosis,Dragon's Teeth,Meadowbrook,Prairie,Deep Sea,Frostfang,Frostfang,Coconut Beach,Celestial Oasis,Ghost Song,Arrow,Cutlass Black,Anlace,Idris-M,Idris-M,Idris-M,Atlas,Atlas,Atlas,Atlas,Aeon,Aeon,Aeon,,Lakon Spaceways,RAFT,600i Explorer,,Cutter,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Celine,Calix,Jill Valentine,Commander Shepard,,Valentine,,,Silverwood,Kharak,Kharak,Arreat,Oakwood,Veldt,Kelp Forest,Permafrost,Permafrost,Azure Coast,Shimmering Shores,Ghost Star,F7C Hornet,Nautilus,Aegis Fate,Idris-P,Idris-P,Idris-P,Infinity,Infinity,Infinity,Infinity,Hel,Hel,Hel,,RSI,MOLE,Corsair,,135c,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Celeste,Caspian,Claire Redfield,Leon S. Kennedy,,Redfield,,,Crescent Bay,Tatanga,Tatanga,Coronet,Sunflower Valley,Tundra,Sargasso Sea,Frozen Wastes,Frozen Wastes,Sun-kissed Shores,Blissful Haven,Ghost Wind,F7C Hornet Wildfire,Constellation Andromeda,Chioglossa,Canberra,Canberra,Canberra,Eternity,Eternity,Eternity,Eternity,Erebus,Erebus,Erebus,,Anvil Aerospace,Orion,Constellation Aquila,,Aurora CL,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Chandra,Caelan,Aloy Sobeck,Master Chief,,Fenix,,,Prime District,Atacama,Atacama,Gagazet,Maplewood,Chaparral,Underwater Canyon,Polar Plains,Polar Plains,Emerald Jungle,Tranquil Meadows,Night Watch,F7C-S Hornet Ghost,Agincourt,Forward Unto Dawn,Dresden,Dresden,Dresden,Fifth Winter,Fifth Winter,Fifth Winter,Fifth Winter,Leviathan,Leviathan,Leviathan,,Aegis Dynamics,Pioneer,Odyssey,,Hull A,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Cora,Cypher,Alex Vance,Marcus Fenix,,Kennedy,,,Empire Heights,Akhetaten,Akhetaten,Highmountain,Birchgrove,Steppes,Open Ocean,Blizzard Ridge,Blizzard Ridge,Crystal Lagoon,Utopia Bay,Razor's Edge,Hawk,Armageddon's Edge,Charon,Hannibal,Hannibal,Hannibal,Orion,Orion,Orion,Orion,Avatar,Avatar,Avatar,,Origin Jumpworks,,Carrack,,Hull B,,,,,,
