,namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_names,fn_random_names,pn_alpine_planets,pn_arctic_planets,pn_arid_planets,pn_continental_planets,pn_desert_planets,pn_gaia_planets,pn_generic_planets,pn_ocean_planets,pn_savannah_planets,pn_tropical_planets,pn_tundra_planets,sn_battle_cruiser,sn_battleship,sn_carrier,sn_colonizer,sn_colossus,sn_constructor,sn_corvette,sn_cruiser,sn_destroyer,sn_dreadnought,sn_exploration_ship,sn_flagship,sn_frigate,sn_generic,sn_headquarters,sn_ion_cannon,sn_juggernaut,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_science,sn_sponsored_colonizer,sn_strike_cruiser,sn_titan,sn_transport,sn_xl_cannon
0,Azrael's HMM British (ONL),osiris,hmm_british_namelist,"$ORD$ Storm Army","$ORD$ Clone Army","$ORD Defense Army","$ORD$ Enhanced Army","Industrial Army $C$","$ORD Machine Army","$ORD Machine Army","$ORD Machine Army","$ORD Machine Army","$ORD$ Security Army","Post-Atomic Army $C$","Primitive Army $C$","$ORD$ Psionic Army","$ORD$ Assaultron Army","$ORD$ Sentrybot Army","$ORD$ Securitron Army","$ORD$ Slave Army","$ORD$ Undead Army","$ORD$ Beast Army",Olivia,John,Adelaide,Albert,Windsor,Smith,$ORD$ Fleet,,Medusa,"Wide North",Frontier,"New London","El-Alamein","New London",,Pacifica,Peach,"New Jamaica","True North",Invincible,Invincible,Courageous,Mayflower,Colossus,"Yorkshire Tea",Blackfly,Adventure,Swift,"Royal Sovereign",Adventure,Lion,Blackfly,,Admiralty,Excalibur,,"BAE Defender","BAE Defender","BAE Defender",Cook,"Yorkshire Tea",Adventure,Lion,"British Shipping",Excalibur
1,,,,,,,,,,,,,,,,,,,,,,,Emily,Brian,Adeliza,Arthur,Hannover,Jones,,,Range,Beaufort,Wild,Horizon,"New Alexandria",Horizon,,Atlantica,"New Georgia","New Singapore",Northlight,Inflexible,Inflexible,Glorious,Bacchus,"Rule Britannia","Thomas Hewlett",Butterfly,Abdiel,Faulknor,"Empress of India",Attentive,Courageous,Butterfly,,,Punisher,,"Britten-Norman Guardian","Britten-Norman Guardian","Britten-Norman Guardian",Dalrymple,HP,Abdiel,Courageous,Hermes,Punisher
2,,,,,,,,,,,,,,,,,,,,,,,Sophie,Peter,Alexandra,Charles,Lancaster,Williams,,,Coquihalla,Bering,"New Rhodesia","New Coasts","New Suez",Paradise,,Admiralty,"St. Augustine","New Queensland",Norneigh,Indomitable,Indomitable,Furious,"Terra Incognita",Albion,"Richard Arkwight",Caddisfly,Latona,Broke,Repulse,Forward,Glorious,Caddisfly,,,Arbitrator,,"Lockheed Martin Vanquisher","Lockheed Martin Vanquisher","Lockheed Martin Vanquisher",Dampier,"British Petrol",Latona,Glorious,"Avro York",Arbitrator
3,,,,,,,,,,,,,,,,,,,,,,,Jessica,James,Anne,Edward,Tudor,Taylor,,,Sierra,Yukon,"New Bombay",Courage,Montgomery,Heaven,,Anchor,Macon,Botany,Cascades,Indefatigable,Indefatigable,Eagle,Civilization,"Royal Sovereign","James Watt",Cranefly,Manxman,Botha,Hood,Foresight,Furious,Cranefly,,,,,"Marshall Aerospace Annihilator","Marshall Aerospace Annihilator","Marshall Aerospace Annihilator",Owen,"Aston Martin",Manxman,Furious,Argosy,
4,,,,,,,,,,,,,,,,,,,,,,,Alice,William,Caroline,George,Plantagnet,Brown,,,Summit,Kodiak,"New Madras",Valor,Rorke,Honey,,Bermuda,"Big Cypress","New Ceylon","Northern Pearl","New Zealand",Australia,"Ark Royal","Botany Bay","Finest Hour","Robert Stephenson",Dragonfly,Welshman,Tipperary,Ramillies,Pathfinder,"Royal Sovereign",Dragonfly,,,,,"Skyrora Limiter","Skyrora Limiter","Skyrora Limiter",Kelvin,"Land Rover",Welshman,"Royal Sovereign","Vickers Valetta",
5,,,,,,,,,,,,,,,,,,,,,,,Scarlett,Jacob,Catherine,Henry,Blois,Davies,,,Gap,"Northern Pearl",,Mayflower,"New Tobruk",Spring,,Pearl,Baxley,"New Greenwhich","New Edinburgh",Australia,Lion,Illustrious,"Neversetting Suns",Supremacy,"Isambard Brunel",Firefly,Ariadne,Lightfoot,Resolution,Patrol,"Royal Oak",Firefly,,,,,"Rolls-Royce Eradicator","Rolls-Royce Eradicator","Rolls-Royce Eradicator",Adventure,Jaguar,Ariadne,"Royal Oak",Sherpa,
6,,,,,,,,,,,,,,,,,,,,,,,Emma,Christopher,Charlotte,James,Normandy,Evans,,,"New Himalaya",Celeste,,Bravery,Lionheart,Lush,,"New Bahama",Vidalia,"New Bengal",Falkland,Lion,"Princess Royal",Formidable,"Rule Britannia","King Arthur","Sir Henry Bessemer",Gadfly,Apollo,Marksman,Revenge,Sentinel,Magnificent,Gadfly,,,,,"Thales Protector","Thales Protector","Thales Protector",Attentive,"Rolls-Royce",Apollo,Magnificent,,
7,,,,,,,,,,,,,,,,,,,,,,,Daisy,Joshua,Diana,John,Wessex,Wilson,,,"New Kilimanjaro",Scott,,"New Albion",Torch,Floston,,Pearl,Sylvania,"New Birma",,"Princess Royal","Queen Mary",Victorious,Seed,Excalibur,"Aston Martin",Grayfly,Agamemnon,Kempenfelt,"Royal Oak",Skirmisher,Majesty,Grayfly,,,,,"Please leave my space","Please leave my space","Please leave my space",Forward,Bentley,Agamemnon,Majesty,,
8,,,,,,,,,,,,,,,,,,,,,,,Eve,Michael,Edith,Maximillian,Godwin,Johnson,,,,,,"New Brighton",,Perfection,,Current,"New Rhodesia",,,"Queen Mary",Tiger,Indomitable,Progress,Merlin,"Land Rover",Greenfly,Menestheus,Nimrod,Caesar,Boadicea,Victorious,Greenfly,,,,,,,,Foresight,Reebok,Menestheus,Victorious,,
9,,,,,,,,,,,,,,,,,,,,,,,Phoebe,Ethan,Eleanor,Philip,Anjou,Robinson,,,,,,Hampton,,Mayflower,,"New Polynesia","New Johannisburg",,,Tiger,Renown,Implacable,"Brit Invasion",,Jaguar,Hoverfly,"Port Napier",Abdiel,Hannibal,Bellona,Glory,Hoverfly,,,,,,,,Pathfinder,Lipton,"Port Napier",Glory,,
10,,,,,,,,,,,,,,,,,,,,,,,Sienna,Joseph,Elizabeth,Richard,Stuart,Wright,,,,,,"Nova Britannia",,Santa,,"Azure Main",Rorke,,,Renown,Repulse,Indefatigable,"Heaven's Command",,"Rolls-Royce",Mayfly,"Southern Prince",Gabriel,Illustrious,Blonde,Albion,Mayfly,,,,,,,,Blonde,TopGear,"Southern Prince",Albion,,
11,,,,,,,,,,,,,,,,,,,,,,,Anna,Matthew,Emma,Robert,Mountbatten,Thompson,,,,,,Camelot,,"Sweet Home",,"New Brighton",,,,Repulse,Courageous,Africa,"Azure Main",,Bentley,Sawfly,"Teviot Bank",Ithuriel,Jupiter,Blanche,Britannia,Sawfly,,,,,,,,Blanche,"Triumph Motorcycles","Teviot Bank",Britannia,,
12,,,,,,,,,,,,,,,,,,,,,,,Mary,Anthony,Jane,Theodore,"Mountbatten-Windsor",Walker,,,,,,,,Glory,,"New Jamaica",,,,Courageous,Glorious,Gibraltar,Flourish,,Vodafone,Sedgefly,Andromache,Parker,Magnificent,Active,"Lord Nelson",Sedgefly,,,,,,,,Active,"Scottish & Newcastle",Andromache,"Lord Nelson",,
13,,,,,,,,,,,,,,,,,,,,,,,Megan,Daniel,Margaret,Victor,,White,,,,,,,,"New Albion",,Caribica,,,,Glorious,Furious,Malta,Longevity,,,Snakefly,Melampus,Grenville,Majestic,Amphion,Vanguard,Snakefly,,,,,,,,Amphion,"Johnnie Walker",Melampus,Vanguard,,
14,,,,,,,,,,,,,,,,,,,,,,,Elizabeth,Samuel,Mary,William,,Roberts,,,,,,,,Victoria,,Channel,,,,Furious,Hood,"New Zealand",Africa,,,Stonefly,Naiad,Hoste,Mars,Fearless,Monarch,Stonefly,,,,,,,,Fearless,Barclays,Naiad,Monarch,,
15,,,,,,,,,,,,,,,,,,,,,,,Amy,Kevin,Matilda,,,Green,,,,,,,,"Nova Britannia",,"Nova Britannia",,,,Hood,Anson,"Queen Elizabeth",Australia,,,Waterfly,Sappho,Seymour,"Prince George",Drake,Conqueror,Waterfly,,,,,,,,Drake,Vodafone,Sappho,Conqueror,,
16,,,,,,,,,,,,,,,,,,,,,,,Darcy,David,Victoria,,,Hall,,,,,,,,Camelot,,,,,,Anson,Howe,"Queen Elizabeth II",America,,,Aphis,Scylla,Saumarez,Victorious,Sirius,Thunderer,Aphis,,,,,,,,Sirius,Aviva,Scylla,Thunderer,,
17,,,,,,,,,,,,,,,,,,,,,,,Matilda,Logan,,,,Wood,,,,,,,,,,,,,,Howe,Rodney,"Prince of Wales","New Zealand",,,Bee,Sybille,Anzac,Canopus,Polaris,"King George V",Bee,,,,,,,,Polaris,,Sybille,"King George V",,
18,,,,,,,,,,,,,,,,,,,,,,,Erin,Carter,,,,Jackson,,,,,,,,,,,,,,Rodney,Incomparable,,India,,,Cicala,Terpsichore,Shakespeare,Glory,Cassiopeia,"King George VI",Cicala,,,,,,,,Cassiopeia,,Terpsichore,"King George VI",,
19,,,,,,,,,,,,,,,,,,,,,,,Lucy,Andrew,,,,Clark,,,,,,,,,,,,,,Incomparable,"Royal Sovereign",,Orient,,,Cockchafer,Thetis,Spenser,Albion,Sol,"Queen Elizabeth",Cockchafer,,,,,,,,Sol,,Thetis,"Queen Elizabeth",,
20,,,,,,,,,,,,,,,,,,,,,,,Grace,Henry,,,,Lewis,,,,,,,,,,,,,,,"Empress of India",,"Yorkshire Tea",,,Cricket,Tribune,Wallace,Ocean,"Alpha Centauri","Queen Victoria",Cricket,,,,,,,,"Alpha Centauri",,Tribune,"Queen Victoria",,
21,,,,,,,,,,,,,,,,,,,,,,,Evelyn,Nicholas,,,,Mason,,,,,,,,,,,,,,,Ramillies,,,,,Glowworm,Aeolus,Keppel,Goliath,Betelgeuse,"Queen Elizabeth II",Glowworm,,,,,,,,Betelgeuse,,Aeolus,"Queen Elizabeth II",,
22,,,,,,,,,,,,,,,,,,,,,,,Amber,Gavin,,,,Mitchell,,,,,,,,,,,,,,,Resolution,,,,,Gnat,Brilliant,Saunders,Vengeance,Rigel,Audacious,Gnat,,,,,,,,Rigel,,Brilliant,Audacious,,
23,,,,,,,,,,,,,,,,,,,,,,,Harriet,Owen,,,,Cox,,,,,,,,,,,,,,,Revenge,,,,,Ladybird,Indefatigable,Spragge,Formidable,Vega,"Iron Duke",Ladybird,,,,,,,,Vega,,Indefatigable,"Iron Duke",,
24,,,,,,,,,,,,,,,,,,,,,,,Caitlyn,Jack,,,,Campbell,,,,,,,,,,,,,,,"Royal Oak",,,,,Mantis,Intrepid,Scott,Irresistible,Pleiades,"Black Prince",Mantis,,,,,,,,Pleiades,,Intrepid,"Black Prince",,
25,,,,,,,,,,,,,,,,,,,,,,,Jasmine,Wyatt,,,,Stewart,,,,,,,,,,,,,,,Caesar,,,,,Moth,Iphigenia,Bruce,Implacable,Antares,Warspite,Moth,,,,,,,,Antares,,Iphigenia,Warspite,,
26,,,,,,,,,,,,,,,,,,,,,,,Madison,Wayne,,,,Quinn,,,,,,,,,,,,,,,Hannibal,,,,,Scarab,Pique,Douglas,London,Canopus,Empire,Scarab,,,,,,,,Canopus,,Pique,Empire,,
27,,,,,,,,,,,,,,,,,,,,,,,Kate,Walter,,,,Murphy,,,,,,,,,,,,,,,Illustrious,,,,,Tarantula,Rainbow,Campbell,Bulwark,Endeavour,"Finest Hour",Tarantula,,,,,,,,Endeavour,,Rainbow,"Finest Hour",,
28,,,,,,,,,,,,,,,,,,,,,,,Eleanor,Charles,,,,Hamilton,,,,,,,,,,,,,,,Jupiter,,,,,Swordfish,Retribution,Mackay,Venerable,Darwin,Churchill,Swordfish,,,,,,,,Darwin,,Retribution,Churchill,,
