namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_names,fn_random_names,pn_generic_planets,pn_arid_planets,pn_desert_planets,pn_alpine_planets,pn_continental_planets,pn_savannah_planets,pn_ocean_planets,pn_arctic_planets,pn_tundra_planets,pn_tropical_planets,pn_gaia_planets,sn_generic,sn_corvette,sn_destroyer,sn_frigate,sn_cruiser,sn_battle_cruiser,sn_striker_cruiser,sn_battleship,sn_carrier,sn_dreadnought,sn_titan,sn_flagship,sn_juggernaut,sn_colossus,sn_colonizer,sn_sponsored_colonizer,sn_constructor,sn_exploration_ship,sn_science,sn_transport,sn_headquarters,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_ion_cannon,sn_xl_cannon
Megacorp (ONL),osiris,megacorp,$ORD$ Frontline Blitz Unit,$ORD$ Replicant Unit,$ORD$ Frontline Risk Management Workgroup,$ORD$ Elite Disruptor Task Force,$ORD$ Industrial Unit,$ORD$ Mecha Blitz Unit,$ORD$ Mecha Blitz Unit,$ORD$ Mecha Blitz Unit,$ORD$ Mecha Risk Management Team,$ORD$ Frontline Cop Squad,$ORD$ Frontline Task Force,$ORD$ Intern Unit,$ORD$ Predictive Insight Unit,$ORD$ Robo Task Force,$ORD$ Robo Risk Management Team,$ORD$ Robo Cop Unit,$ORD$ Intern Unit,$ORD$ Burn Out Squad,$ORD$ Unconventional Unit,Ginni,Elon,Zhou Qunfei,Elon Musk,,Musk,$ORD$ Corporate Fleet,,Boeing,Saudi Aramco,Saudi Aramco,Nestle,Apple,Archer Daniels Midland,A.P. Moller-Maersk,Gazprom,Gazprom,Petrobras,Saudi Aramco,Value Add,Tactical Realigner,Tactical Realigner,Tactical Realigner,Top Performer,Top Performer,Top Performer,Forced Merger,Forced Merger,Forced Merger,Forced Merger,Hostile Takeover,Hostile Takeover,Hostile Takeover,Mover,Mover,Shaker,Innovator,Innovator,Just-in-Time Transporter,Flagship Campus,Regional Hub,Satellite Office,Micro-Branch,Corporate Firepower,Extra Corporate Firepower
,,,,,,,,,,,,,,,,,,,,,,Mary,Bernard,Diane Hendricks,Bernard Arnault,,Arnault,,,Lockheed Martin,SABIC,SABIC,Novartis,Amazon,Bunge Limited,Mediterranean Shipping Company,Norilsk Nickel,Norilsk Nickel,Vale,Gazprom,Quality Control,Elite Performer,Elite Performer,Elite Performer,High Achiever,High Achiever,High Achiever,Aggressive Buyout,Aggressive Buyout,Aggressive Buyout,Aggressive Buyout,Force Projection,Force Projection,Force Projection,Value Add,Value Add,Site Logistics,Rapid Prototype,Rapid Prototype,Supply Chain Transporter,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Marillyn,Bill,Wu Yajun,Bill Gates,,Gates,,,Raytheon Technologies,National Commercial Bank,National Commercial Bank,Roche,Microsoft,Cargill,CMA CGM Group,Lukoil,Lukoil,Embraer,ExxonMobil,Site Logistician,Prodigy,Prodigy,Prodigy,Star Player,Star Player,Star Player,Involuntary Acquisition,Involuntary Acquisition,Involuntary Acquisition,Involuntary Acquisition,Force Multiplier,Force Multiplier,Force Multiplier,,,Punch List,Open Innovator,Open Innovator,Route Optimizer,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Safra,Mark,Meg Whitman,Mark Zuckerberg,,Zuckerberg,,,Northrop Grumman,Al Rajhi Bank,Al Rajhi Bank,ABB,Alphabet,Tyson Foods,Hapag-Lloyd,Rosneft,Rosneft,América Móvil,China National Petroleum Corporation,Long-Term Contract,Powerhouse,Powerhouse,Powerhouse,Go-Getter,Go-Getter,Go-Getter,Forced Acquisition,Forced Acquisition,Forced Acquisition,Forced Acquisition,,,,,,Lean Constructor,Disruptive Innovator,Disruptive Innovator,Rolling Stock,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Carol,Larry,Zhang Xin,Larry Page,,Page,,,General Dynamics,Saudi Basic Industries Corporation,Saudi Basic Industries Corporation,Credit Suisse,Berkshire Hathaway,Caterpillar,China Ocean Shipping Company,Equinor,Equinor,Fomento Economico Mexicano,Royal Dutch Shell,Stakeholder,Mover and Shaker,Mover and Shaker,Mover and Shaker,Rockstar,Rockstar,Rockstar,Forced Takeover,Forced Takeover,Forced Takeover,Forced Takeover,,,,,,Agile Constructor,Agile Explorer,Agile Explorer,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Abigail,Sergey,Denise Coates,Sergey Brin,,Brin,,,BAE Systems,Saudi Telecom Company,Saudi Telecom Company,UBS,Facebook,John Deere,Evergreen Marine,Nornickel,Nornickel,Ecopetrol,British Petroleum,Closer,Standout Talent,Standout Talent,Standout Talent,Heavy Hitter,Heavy Hitter,Heavy Hitter,Market Penetrator,Market Penetrator,Market Penetrator,Market Penetrator,,,,,,Closeout,Scope Creep,Scope Creep,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lynn,Larry,Oprah Winfrey,Larry Ellison,,Ellison,,,Airbus,Qatar National Bank,Qatar National Bank,LafargeHolcim,Johnson & Johnson,Bombardier,Orient Overseas Container Line,Surgutneftegas,Surgutneftegas,Grupo Bimbo,PetroChina,Dealmaker,Rising Star,Rising Star,Rising Star,Game Changer,Game Changer,Game Changer,Risk Mitigator,Risk Mitigator,Risk Mitigator,Risk Mitigator,,,,,,,Lean Explorer,Lean Explorer,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Ho,Warren,Judy Faulkner,Warren Buffett,,Buffett,,,China Aerospace,The Emirates Group,The Emirates Group,Swatch Group,Procter & Gamble,Canadian National Railway,Yang Ming Marine Transport,Novatek,Novatek,Tenaris,Microsoft,Minimum Viable Product,Whiz Kid,Whiz Kid,Whiz Kid,Overachiever,Overachiever,Overachiever,Tactical Maneuver,Tactical Maneuver,Tactical Maneuver,Tactical Maneuver,,,,,,,Knowledge Transfer,Knowledge Transfer,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Alison,Steve,Zhou Hongyi,Steve Ballmer,,Ballmer,,,Mercedes-Benz,DP World,DP World,Glencore,Toyota Motor Corporation,Canadian Pacific Railway,Hyundai Merchant Marine,Fortum,Fortum,Brasil Foods,Apple,Breakthrough Researcher,Fast Tracker,Fast Tracker,Fast Tracker,HiPo,HiPo,HiPo,Asset Deployer,Asset Deployer,Asset Deployer,Asset Deployer,,,,,,,Competitive Intel,Competitive Intel,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Jennifer,Mukesh,Lam Wai Ying,Mukesh Ambani,,Ambani,,,L3Harris Technologies,Mubadala Investment Company,Mubadala Investment Company,Julius Baer,General Electric,Sasol,ZIM Integrated Shipping Services,Neste,Neste,JBS,Industrial and Commercial Bank of China,Design Thinker,High-Flyer,High-Flyer,High-Flyer,Rainmaker,Rainmaker,Rainmaker,Conflict Manager,Conflict Manager,Conflict Manager,Conflict Manager,,,,,,,,,,,,,,,
