namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_names,fn_random_names,pn_generic_planets,pn_arid_planets,pn_desert_planets,pn_alpine_planets,pn_continental_planets,pn_savannah_planets,pn_ocean_planets,pn_arctic_planets,pn_tundra_planets,pn_tropical_planets,pn_gaia_planets,sn_generic,sn_corvette,sn_destroyer,sn_frigate,sn_cruiser,sn_battle_cruiser,sn_striker_cruiser,sn_battleship,sn_carrier,sn_dreadnought,sn_titan,sn_flagship,sn_juggernaut,sn_colossus,sn_colonizer,sn_sponsored_colonizer,sn_constructor,sn_exploration_ship,sn_science,sn_transport,sn_headquarters,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_ion_cannon,sn_xl_cannon
African (ONL),osiris,african,$ORD$ Zulu Impi,$ORD$ Nneka's Children,$ORD$ Zulu Impi,$ORD$ Ori-Inu Warriors,$ORD$ Nzambi Warriors,$ORD$ Impundulu Machines,$ORD$ Impundulu Machines,$ORD$ Impundulu Machines,$ORD$ Impundulu Impi,$ORD$ Zulu Kurera,$ORD$ Maasai Warriors,$ORD$ Impi,$ORD$ Ase Impi,$ORD$ Ogun's Creations,$ORD$ Ogun's Guardians,$ORD$ Ogun's Kurera,$ORD$ Ukululama Freedom Fighters,$ORD$ Oya's Wafu Hai,$ORD$ Echidna's Chosen,Ayanda,Abayomi,Amanirenas,Ahmadou Ahidjo,,Adebayo,$ORD$ Ogun's Chosen,,Ngorongoro,Timbuktu,Timbuktu,Addis Ababa,Kisangani,Serowe,Mombasa,,,Lagos,Ophir,Akan,Achaman's Assegai,Achaman's Assegai,Achaman's Assegai,Oya's Ferocity,Oya's Ferocity,Oya's Ferocity,Achaman,Achaman,Achaman,Achaman,Oya,Oya,Oya,Lubaale,Safaricom,Bumba,Anansi,Anansi,Spirit of Mamalambo,Oltoirashi,Isibuko,Ngome,Inyanga,Ochosi,Yewe
,,,,,,,,,,,,,,,,,,,,,,Busisiwe,Baraka,Amina,Almamy Suluku,,Banda,,,Tsavo,Gao,Gao,Lalibela,Goma,Ouagadougou,Dakar,,,Kinshasa,Lalibela,Aksum,Achaman's Ferocity,Achaman's Ferocity,Achaman's Ferocity,Oya's Wind,Oya's Wind,Oya's Wind,Aganju,Aganju,Aganju,Aganju,Amadioha,Amadioha,Amadioha,Mbaba Mwana Waresa,Dangote Group,Nkongolo,Orunmilla,Orunmilla,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Chipo,Chibuzo,Anna Nzinga,Askia the Great,,Chirwa,,,Nakuru,Kidal,Kidal,Gondar,Mbalmayo,Niamey,Banjul,,,Luanda,Kebel-Buna,Albert,Achaman's Iklwa,Achaman's Iklwa,Achaman's Iklwa,Oya's Storm,Oya's Storm,Oya's Storm,Agurzil,Agurzil,Agurzil,Agurzil,Apedemak,Apedemak,Apedemak,Mami Wata,MTN Group,Gbeto,Babalu Aye,Babalu Aye,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Dineo,Dumisani,Daurama,Behanzin Hossu Bowelle,,Dlamini,,,Lagos,Agadez,Agadez,Asmara,Libreville,Bamako,Freetown,,,Dar es Salaam,Kerma,Amhara,Achaman's Iron,Achaman's Iron,Achaman's Iron,Oya's Thunder,Oya's Thunder,Oya's Thunder,Aje,Aje,Aje,Aje,Ogun,Ogun,Ogun,Nommo,Maroc Telecom,Mame Wata,Ogbe,Ogbe,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Esangalo,Enitan,Idia,Ezana,,Enyong,,,Kinshasa,Arlit,Arlit,Kigali,Mbouda,Kaduna,Conakry,,,Abidjan,Great Zimbabwe,Angola,Achaman's Lightning,Achaman's Lightning,Achaman's Lightning,Oya's Lightning,Oya's Lightning,Oya's Lightning,Alekwu,Alekwu,Alekwu,Alekwu,Maher,Maher,Maher,Chukwu,Zambeef Products,Oya,Mbombo,Mbombo,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Fikile,Faraji,Judith,Hannibal Barca,,Folorunso,,,Luanda,Maradi,Maradi,Maseru,Brazzaville,Zaria,Monrovia,,,Addis Ababa,Wawel,Ashanti,Achaman's Olari,Achaman's Olari,Achaman's Olari,Oya's Roar,Oya's Roar,Oya's Roar,Ayangalu,Ayangalu,Ayangalu,Ayangalu,Tano,Tano,Tano,Ayangalu,Ecobank,Mulungu,Thandiwe,Thandiwe,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Gugulethu,Gideon,Kahina,Hassan II,,Githinji,,,Khartoum,Zinder,Zinder,Moroni,Pointe-Noire,Kano,Abidjan,,,Kumasi,Ado-Ekiti,Bakongo,Achaman's Roar,Achaman's Roar,Achaman's Roar,Oya's Iron,Oya's Iron,Oya's Iron,Boryet,Boryet,Boryet,Boryet,Olodumare,Olodumare,Olodumare,Aje Shaluga,UBA Group,Mboze,Ogum,Ogum,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Hlengiwe,Hlengiwe,Kandake Amanishakheto,Kofi Annan,,Hove,,,Dar es Salaam,Nouakchott,Nouakchott,Bujumbura,Kumasi,Lusaka,Accra,,,Dakar,Meroe,Bambara,Achaman's Storm,Achaman's Storm,Achaman's Storm,Oya's Iklwa,Oya's Iklwa,Oya's Iklwa,Chamalongo,Chamalongo,Chamalongo,Chamalongo,,,,Nana Buluku,Sonatel,Ngai,Ifa,Ifa,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Imara,Ifeanyi,Muhumuza,Mansa Musa,,Igbokwe,,,Johannesburg,Atar,Atar,Fianarantsoa,Sunyani,Lilongwe,Lome,,,Ibadan,Iram,Bantu,Achaman's Thunder,Achaman's Thunder,Achaman's Thunder,Oya's Assegai,Oya's Assegai,Oya's Assegai,Ekwensu,Ekwensu,Ekwensu,Ekwensu,,,,Obatala,Celtel,Unkulunkulu,Enkai,Enkai,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Jabali,Jabulani,Nandi,Menelik II,,Jomo,,,Abidjan,Nema,Nema,Antananarivo,Bafoussam,Mzuzu,Cotonou,,,Douala,Niani,Bariba,Achaman's Wind,Achaman's Wind,Achaman's Wind,Oya's Olari,Oya's Olari,Oya's Olari,Engai Narok,Engai Narok,Engai Narok,Engai Narok,,,,Ogo,Tullow Oil,,Olapa,Olapa,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Kakenya,Kago,Nzinga Mbemba,Mohammed VI,,Kamau,,,Nairobi,Ouarzazate,Ouarzazate,Ambalavao,Foumban,Jos,Dar es Salaam,,,Ouagadougou,Kerma,Bassa,Aganju's Assegai,Aganju's Assegai,Aganju's Assegai,Amadioha's Ferocity,Amadioha's Ferocity,Amadioha's Ferocity,Enkai,Enkai,Enkai,Enkai,,,,Oko,,,Orkoyot,Orkoyot,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lindiwe,Lekishon,Pokou,Osei Tutu,,Lekota,,,Addis Ababa,Ghardaia,Ghardaia,Lubango,Kindu,Mwanza,Zanzibar,,,Lubumbashi,Thimlich Ohinga,Bemba,Aganju's Ferocity,Aganju's Ferocity,Aganju's Ferocity,Amadioha's Wind,Amadioha's Wind,Amadioha's Wind,Eshu,Eshu,Eshu,Eshu,,,,Musisi,,,Engai,Engai,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Mbali,Mandla,Tiye,Shaka Zulu,,Mkhize,,,Kano,Ouargla,Ouargla,Huye,Boma,Dodoma,Maputo,,,Mbuji-Mayi,Kumbi Saleh,Benin,Aganju's Iklwa,Aganju's Iklwa,Aganju's Iklwa,Amadioha's Storm,Amadioha's Storm,Amadioha's Storm,Ilmoran,Ilmoran,Ilmoran,Ilmoran,,,,,,,Kibuka,Kibuka,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Nomusa,Nkosi,Ranavalona I,Amadu Bamba,,Ndlovu,,,Dakar,Kufra,Kufra,Ambositra,Kribi,Sokoto,Beira,,,Zaria,Djenne-Djenno,Berber,Aganju's Iron,Aganju's Iron,Aganju's Iron,Amadioha's Thunder,Amadioha's Thunder,Amadioha's Thunder,Indlovukazi,Indlovukazi,Indlovukazi,Indlovukazi,,,,,,,Nomhoyi,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Olerato,Olerato,Yaa Asantewaa,Sobhuza II,,Okafor,,,Ibadan,Sabha,Sabha,Axum,Nkongsamba,Maiduguri,Praia,,,Niamey,Serengeti,Blue Nile,Aganju's Lightning,Aganju's Lightning,Aganju's Lightning,Amadioha's Lightning,Amadioha's Lightning,Amadioha's Lightning,Kalunga,Kalunga,Kalunga,Kalunga,,,,,,,Mamlambo,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Puleng,Pule,Yennenga,Sundiata Keita,,Pule,,,Accra,Diffa,Diffa,Manzini,Kumba,Bobo-Dioulasso,Sao Tome,,,Bamako,Okavango,Botswana,Aganju's Olari,Aganju's Olari,Aganju's Olari,Amadioha's Roar,Amadioha's Roar,Amadioha's Roar,Kibuka,Kibuka,Kibuka,Kibuka,,,,,,,Thokozile,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Qondiswa,Qaphela,Zingha,Tewodros II,,Quashie,,,Kumasi,Mopti,Mopti,Shire,Limbe,N'Djamena,Malabo,,,Accra,Hwange,Burkina Faso,Aganju's Roar,Aganju's Roar,Aganju's Roar,Amadioha's Iron,Amadioha's Iron,Amadioha's Iron,Kokou,Kokou,Kokou,Kokou,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Rehema,Reatile,Azinga,Thutmose III,,Ramaphosa,,,Ouagadougou,El-Oued,El-Oued,Dessie,Bangui,Garoua,Libreville,,,Brazzaville,Virunga,Burundi,Aganju's Storm,Aganju's Storm,Aganju's Storm,Amadioha's Iklwa,Amadioha's Iklwa,Amadioha's Iklwa,Luket,Luket,Luket,Luket,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Sibongile,Sandile,Sarraounia,Yaa Asantewaa,,Sibanda,,,Lusaka,Adrar,Adrar,Kabale,Mbandaka,Maroua,Pointe-Noire,,,Yaounde,Nyungwe,Cabo Verde,Aganju's Thunder,Aganju's Thunder,Aganju's Thunder,Amadioha's Assegai,Amadioha's Assegai,Amadioha's Assegai,Mawu-Lisa,Mawu-Lisa,Mawu-Lisa,Mawu-Lisa,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Tapiwa,Thulani,Nyabingi,Cetshwayo kaMpande,,Tshabalala,,,Harare,Dori,Dori,Iten,Oyem,Kankan,Luanda,,,Kigali,Samburu,Cameroon,Aganju's Wind,Aganju's Wind,Aganju's Wind,Amadioha's Olari,Amadioha's Olari,Amadioha's Olari,Mpobe,Mpobe,Mpobe,Mpobe,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Unathi,Uzoma,,Nelson Mandela,,Uduaghan,,,Maputo,,,,,,,,,,,Chad,Agurzil's Assegai,Agurzil's Assegai,Agurzil's Assegai,Apedemak's Ferocity,Apedemak's Ferocity,Apedemak's Ferocity,Nandi,Nandi,Nandi,Nandi,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Vuyiswa,Vusumuzi,,,,Vilakazi,,,Yaounde,,,,,,,,,,,Chaga,Agurzil's Ferocity,Agurzil's Ferocity,Agurzil's Ferocity,Apedemak's Wind,Apedemak's Wind,Apedemak's Wind,Nkulunkulu ka Menzi,Nkulunkulu ka Menzi,Nkulunkulu ka Menzi,Nkulunkulu ka Menzi,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Wanjiku,Wamukota,,,,Wamalwa,,,Lusaka,,,,,,,,,,,Chewa,Agurzil's Iklwa,Agurzil's Iklwa,Agurzil's Iklwa,Apedemak's Storm,Apedemak's Storm,Apedemak's Storm,Nomkhubulwane,Nomkhubulwane,Nomkhubulwane,Nomkhubulwane,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Xoliswa,Xolani,,,,Xaba,,,,,,,,,,,,,,Comoros,Agurzil's Iron,Agurzil's Iron,Agurzil's Iron,Apedemak's Thunder,Apedemak's Thunder,Apedemak's Thunder,Oba ,Oba ,Oba ,Oba ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Yewande,Yared,,,,Yende,,,,,,,,,,,,,,Congo,Agurzil's Lightning,Agurzil's Lightning,Agurzil's Lightning,Apedemak's Lightning,Apedemak's Lightning,Apedemak's Lightning,Obatala,Obatala,Obatala,Obatala,,,,,,,,,,,,,,,
