namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_names,fn_random_names,pn_alpine_planets,pn_arctic_planets,pn_arid_planets,pn_continental_planets,pn_desert_planets,pn_gaia_planets,pn_generic_planets,pn_ocean_planets,pn_savannah_planets,pn_tropical_planets,pn_tundra_planets,sn_battle_cruiser,sn_battleship,sn_carrier,sn_colonizer,sn_colossus,sn_constructor,sn_corvette,sn_cruiser,sn_destroyer,sn_dreadnought,sn_exploration_ship,sn_flagship,sn_frigate,sn_generic,sn_headquarters,sn_ion_cannon,sn_juggernaut,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_science,sn_sponsored_colonizer,sn_strike_cruiser,sn_titan,sn_transport,sn_xl_cannon
Grand US (Azrael/ONL),osiris,grandus,$ORD$ Storm Army,$ORD$ Clone Army,$ORD$ Sentry Army,$ORD$ Enhanced Army,Industrial Army $C$,$ORD$ Mechatron Army,$ORD$ Mechatron Army,$ORD$ Mechatron Army,$ORD$ Mechatron Garrison,$ORD$ Security Army,Post-Atomic Army $C$,Primitive Army $C$,$ORD$ Psionic Army,$ORD$ Assaultron Army,$ORD$ Sentrybot Army,$ORD$ Securitron Army,$ORD$ Slave Army,$ORD$ Undead Army,$ORD$ Beast Army,Olivia,John,Jacqueline,Arthur,Washington,Smith,Task Force $C$,,Appalachia,Nulaska,New Dallas,Columbia,New Nevada,Columbia,Equatoria,New Guam,New Tripoli,New Florida,New Dakota,Alabama,Alabama,Lexington,Manifest Destiny,Constitution,Manifest Destiny,Arleigh Burke,Antietam,Arleigh Burke,Alabama,Manifest Destiny,Constitution,Arleigh Burke,,USSPACOM,Liberator,Constitution,Bastion,Bastion,Bastion,Manifest Destiny,Facebook,Antietam,Constitution,Waikiki,Liberator
,,,,,,,,,,,,,,,,,,,,,,Emily,Brian,Theodora,Charles,Jefferson,Jones,,,Rocky,Wide North,New Texas,Manifest,Navajo Reborn,Paradise,Duality,Pacifica,Flyovah,Greene,New Minnesota,Alaska,Alaska,Saratoga,Great Track,Columbia,Patrick Gass,Bainbridge,Anzio,Bainbridge,Alaska,Meriwether Lewis,Columbia,Bainbridge,,,Peacekeeper,Columbia,Protector,Protector,Protector,Meriwether Lewis,Apple,Anzio,Columbia,Big Island,Peacekeeper
,,,,,,,,,,,,,,,,,,,,,,Sophie,Peter,Miranda,John,Franklin,Williams,,,Medusa,New Juneau,New Arizona,New California,Paso,Heaven,Twilight Horizons,Atlantica,Peach,Bayou,Northlight,Arizona,Arizona,Ranger,New Territories,Uncle Sam,Henry Ford,Barry,Cape St. George,Barry,Arizona,William Clark,Uncle Sam,Barry,,,Smith'n'Wesson,Uncle Sam,Border,Border,Border,William Clark,Microsoft,Cape St. George,Uncle Sam,Highway,Smith'n'Wesson
,,,,,,,,,,,,,,,,,,,,,,Jessica,James,Cordelia,Henry,Revere,Taylor,,,Range,Freeze,Coconino,New Coasts,New Phoenix,Honey,Eternity,Liberty,New Georgia,New Louisiana,Norneigh,Arkansas,Arkansas,Yorktown,Gold Rush,America,John D. Rockefeller,Bulkeley,Chancellorsville,Bulkeley,Arkansas,Charles Floyd,America,Bulkeley,,,Colt,America,Pearl Harbor,Pearl Harbor,Pearl Harbor,Charles Floyd,Airbus,Chancellorsville,Liberty Bell,Rail,Colt
,,,,,,,,,,,,,,,,,,,,,,Alice,William,Henrietta,Max,Johnson,Brown,,,Donner,New Chugach,Tonto,Vespucci,Aguila,Spring,Columbia,New Key West,St. Augustine,New Alabama,Copper Harbor,California,California,Enterprise,Pioneer,Unity,Dollar,Carney,Chosin,Carney,California,John Ordway,Unity,Carney,,,Browning,Unity,Fort Sumter,Fort Sumter,Fort Sumter,John Ordway,AT&T,Chosin,Liberty,Airway,Browning
,,,,,,,,,,,,,,,,,,,,,,Scarlett,Jacob,,Robert,Adams,Davies,,,Sierra,New Prudhoe,Wayne,Seasons,New Yuma,Freedom,Paradise,Admiralty,Macon,Sissipi,Roseau,Colorado,Colorado,Hornet,Steps,Federation,Andrew Carnegie,Chafee,Cowpens,Chafee,Colorado,Nathaniel Pryor,Federation,Chafee,,,General Electric,Federation,Fort,Fort,Fort,Nathaniel Pryor,Valve,Cowpens,Freedom,Parcel,General Electric
,,,,,,,,,,,,,,,,,,,,,,Emma,Christopher,,Victor,Madison,Evans,,,Echo Summit,Beaufort,Frontier,Patriot,Life Valley,Liberty,Heaven,Freedom,Big Cypress,Presley,New Anchourage,Connecticut,Connecticut,Wasp,Statehood,United States,Cornelius Vanderbilt,Chung-Hoon,Gettyburg,Chung-Hoon,Connecticut,Zebulon Pike,United States,Chung-Hoon,,,Stormeye,United States,Peacekeeper,Peacekeeper,Peacekeeper,Zebulon Pike,American Express,Gettyburg,Pursuit of Happiness,Boeing,
,,,,,,,,,,,,,,,,,,,,,,Daisy,Joshua,,George,Williamson,Wilson,,,Gap,Bering,Wild,Courage,,Lush,Honey,Anchor,Baxley,Swampy Pearl,Cascades,Delaware,Delaware,Essex,Expanding Freedom,Liberty,Alexander G. Bell,Cole,Hue City,Cole,Delaware,Richard Warfington,Liberty,Cole,,,Silvereye,Liberty,Smith'n'Wesson,Smith'n'Wesson,Smith'n'Wesson,Richard Warfington,Bank of America,Hue City,Equality,McDonnell,Silvereye
,,,,,,,,,,,,,,,,,,,,,,Eve,Michael,,Theodor,Fitzsimmon,Johnson,,,New Truckee,Yukon,Ehrenberg,Valor,,Floston,Spring,Bermuda Libre,Vidalia,,Northern Pearl,Florida,Florida,Intrepid,Federation,Freedom,Bill Gates,Curtis Wilbur,Lake Champlain,Curtis Wilbur,Florida,Rio Grande,Freedom,Curtis Wilbur,,,Big Iron,Freedom,Colt,Colt,Colt,Rio Grande,NFL,Lake Champlain,Justice,Northrop Grumman,Big Iron
,,,,,,,,,,,,,,,,,,,,,,Phoebe,Ethan,,,Hamilton,Robinson,,,New Yosemite,Kodiak,New Tucson,Mayflower,,Perfection,Freedom,Pearl,Sylvania,,Laniakea,Georgia,Georgia,Franklin,E Pluribus Unum,Equality,Steve Jobbs,Decatur,Lake Erie,Decatur,Georgia,Colorado River,Equality,Decatur,,,,Equality,Browning,Browning,Browning,Colorado River,NHL,Lake Erie,America,Sikorsky,
