namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_names,fn_random_names,pn_generic_planets,pn_arid_planets,pn_desert_planets,pn_alpine_planets,pn_continental_planets,pn_savannah_planets,pn_ocean_planets,pn_arctic_planets,pn_tundra_planets,pn_tropical_planets,pn_gaia_planets,sn_generic,sn_corvette,sn_destroyer,sn_frigate,sn_cruiser,sn_battle_cruiser,sn_striker_cruiser,sn_battleship,sn_carrier,sn_dreadnought,sn_titan,sn_flagship,sn_juggernaut,sn_colossus,sn_colonizer,sn_sponsored_colonizer,sn_constructor,sn_exploration_ship,sn_science,sn_transport,sn_headquarters,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_ion_cannon,sn_xl_cannon
Chinese (ONL),osiris,chinese,$ORD$ Zhen Long Army,$ORD$ Gui Ren Wu Shi Army,$ORD$ Cheng Huang Army,$ORD$ Guan Yu Wu Shi Army,$ORD$ Wu Shi Army,$ORD$ Zhi Zhang Zhen Long Army,$ORD$ Zhi Zhang Zhen Long Army,$ORD$ Zhi Zhang Zhen Long Army,$ORD$ Zhi Zhang Cheng Huang Army,$ORD$ Chi Wen Army,$ORD$ Wu Shi Army,$ORD$ Wu Shi Army,$ORD$ Zi Lu Wu Shi Army,$ORD$ Zhi Zhang Wu Shi Army,$ORD$ Zhi Zhang Cheng Huang Army,$ORD$ Zhi Zhang Chi Wen Army,$ORD$ Nuke Wu Shi Army,$ORD$ Jiangshi Wu Shi Army,$ORD$ Taotie Wu Shi Army,Ai,Ao,Lu Zhi,Mao Zedong,,Ai,$ORD$ Haijun,,Shanghai,Urumqi,Aksai Kazakh,Chongqing,Beijing,Hohhot,Beijing,Harbin,Harbin,Haikou,Kunlun,Yangtze,Sun Tzu,Sun Tzu,Sun Tzu,Xia,Xia,Xia,Longwang,Longwang,Longwang,Zhongli Quan,Jade Emperor,Jade Emperor,Jade Emperor,Yellow Emperor,Yellow Emperor,Lhotse,Confucius,Confucius,Dragon Boat,The Forbidden City,Bao Lei,Cheng Bao,Shao Suo,Da Jiangjun Pao,Da Jiangjun Pao II
,,,,,,,,,,,,,,,,,,,,,,Bei,Bo,Wu Zetian,Sun Yat-sen,,An,,,Beijing,Lanzhou,Anxi,Guiyang,Tianjin,Baotou,Tianjin,Mohe,Mohe,Sanya,Xanadu,Yellow,Cao Cao,Cao Cao,Cao Cao,Shang,Shang,Shang,Shenlong,Shenlong,Shenlong,Lu Dongbin,Guan Yu,Guan Yu,Guan Yu,Landlord God,Landlord God,Makalu,Lao Tzu,Lao Tzu,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Cai,Chen,Cixi,Kublai Khan,,Bao,,,Chongqing,Dunhuang,Arxan,Kunming,Shenyang,Ordos,Qingdao,Jilin,Jilin,Guangzhou,Daxian,Pearl,Guan Yu,Guan Yu,Guan Yu,Zhou,Zhou,Zhou,Tianlong,Tianlong,Tianlong,Zhang Guolao,Nuwa,Nuwa,Nuwa,Nuwa,Nuwa,Cho Oyu,Sun Tzu,Sun Tzu,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Dan,Dao,Xiaozhuang,Song Huizong,,Bei,,,Guangzhou,Turpan,Bayan Nur,Lhasa,Dalian,Shenyang,Dalian,Da Hinggan Ling,Da Hinggan Ling,Shenzhen,Xuanji,Heilongjiang,Zhang Fei,Zhang Fei,Zhang Fei,Qin,Qin,Qin,Fucanglong,Fucanglong,Fucanglong,Han Xiangzi,Yu tne Great,Yu the Great,Yu the Great,Ao Guang,Ao Guang,Shishapangma,Mencius,Mencius,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,E,En,Chongqing,Tang Taizong,,Cai,,,Shenzhen,Kashgar,Dunhuang,Lijiang,Harbin,Changchun,Shanghai,Yakeshi,Yakeshi,Beihai,Penglai,Huai,Zhao Yun,Zhao Yun,Zhao Yun,Han,Han,Han,Dihuanglong,Dihuanglong,Dihuanglong,Li Tieguai,Monkey King,Monkey King,Monkey King,Ao Qin,Ao Qin,Gongga,Mozi,Mozi,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Fang,Feng,Longyu,Han Wudi,,Cao,,,Tianjin,Yinchuan,Ejina Banner,Luoyang,Changchun,Jinan,Ningbo,Hulunbuir,Hulunbuir,Zhanjiang,Tushan,Hai,Zhuge Liang,Zhuge Liang,Zhuge Liang,Jin,Jin,Jin,Huanglong,Huanglong,Huanglong,Cao Guojiu,,,,Ao Run,Ao Run,Tai,Han Fei,Han Fei,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Guan,Guo,Cian,Qin Shi Huang,,Chen,,,Chengdu,Zhangye,Golmud,Meishan,Qiqihar,Taiyuan,Xiamen,Shangzhi,Shangzhi,Nanning,Huaguo,Liao,Liu Bei,Liu Bei,Liu Bei,Sui,Sui,Sui,Qiulong,Qiulong,Qiulong,Lan Caihe,,,,Ao Shun,Ao Shun,Hua,Zhuangzi,Zhuangzi,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Hong,Hao,Ulanara,Taizu,,Cheng,,,Wuhan,Hami,Hami,Nanchong,Jilin,Zhengzhou,Fuzhou,Beian,Beian,Fuzhou,Zhuolu,Yalu,Yue Fei,Yue Fei,Yue Fei,Tang,Tang,Tang,Yinglong,Yinglong,Yinglong,He Xiangu,,,,Cheng Huang,Cheng Huang,Heng,Li Bai,Li Bai,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Ji,Ji,Zangsun,Guangxu,,Chou,,,Dongguan,Jiayuguan,Hohhot,Qingchengshan,Hohhot,Xianyang,Guangzhou,Genhe,Genhe,Xiamen,Xanthe,Songhua,Li Shimin,Li Shimin,Li Shimin,Song,Song,Song,Panlong,Panlong,Panlong,,,,,,,Song,Du Fu,Du Fu,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Kui,Kui,Liu,Wu,,Chu,,,Foshan,Aksu,Jinchang,Shangri-La,Baotou,Xining,Shenzhen,Heihe,Heihe,Quanzhou,Cangzhou,Hulunbuir,Li Jing,Li Jing,Li Jing,Yuan,Yuan,Yuan,Jiaolong,Jiaolong,Jiaolong,,,,,,,Emei,Wang Yangming,Wang Yangming,,,,,,,
