namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_names,fn_random_names,pn_generic_planets,pn_arid_planets,pn_desert_planets,pn_alpine_planets,pn_continental_planets,pn_savannah_planets,pn_ocean_planets,pn_arctic_planets,pn_tundra_planets,pn_tropical_planets,pn_gaia_planets,sn_generic,sn_corvette,sn_destroyer,sn_frigate,sn_cruiser,sn_battle_cruiser,sn_striker_cruiser,sn_battleship,sn_carrier,sn_dreadnought,sn_titan,sn_flagship,sn_juggernaut,sn_colossus,sn_colonizer,sn_sponsored_colonizer,sn_constructor,sn_exploration_ship,sn_science,sn_transport,sn_headquarters,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_ion_cannon,sn_xl_cannon
Sci-Fi TV Mashup (ONL),osiris,scifitv,$ORD$ Colonial Marines,$ORD$ Clone Troopers,$ORD$ Colonial Garrison,$ORD$ Jem-Hadar Force,$ORD$ Mercenaries,$ORD$ Centurion Army,$ORD$ Android Assault Force,$ORD$ Battle Droid Force,$ORD$ Battle Droid Garrison,$ORD$ Colonial Peacekeepers,$ORD$ Infantry,$ORD$ Freedom Fighters,$ORD$ Jedi Task Force,$ORD$ Centurion Army,$ORD$ Droid Base Garrison,$ORD$ Droid Garrison,$ORD$ Colonial Conscripts,$ORD$ Sith Army,$ORD$ Species 8472 Force,Adira,Aamin,Kathryn Janeway,Jonathan Archer,,Ackbar,$ORD$ Star Fleet,,Abydos,Altair VI,Tatooine,Alderaan,Coruscant,Aldea,Ahch-To,Abafar,Andoria,Abafar,Naboo,Aegis,Y-wing,Y-wing,Y-wing,Achilles,Achilles,Achilles,Acheron,Acheron,Acheron,Acheron,Executor,Executor,Death Star,Astral Queen,Arakyd Industries,GAT-12,Deep Core Explorer,Deep Core Explorer,AAL-1971,Colonial Fleet Headquarters,Golan Arms L,Golan Arms M,Golan Arms S,Heavy Ion,Large Ion Cannon
,,,,,,,,,,,,,,,,,,,,,,Aisha,Adrik,Nyota Uhura,James T. Kirk,,Adama,,,Aerilon,Arvala-7,Jakku,Hoth,Naboo,Bajor,Altamid,Andoria,Ansion,Affavan,Alderaan,Akira,TIE,TIE,TIE,Adamant,Adamant,Adamant,Acropolis,Acropolis,Acropolis,Acropolis,Finalizer,Finalizer,Death Star II,Cloud Nine,Caprica Interstellar,Lucrehulk,Demetrius,Demetrius,Colonial Heavy 798,Echo Base,Large Defense Platform,Medium Defense Platform,Small Defense Platform,Ion Cannon,Orbital Ion
,,,,,,,,,,,,,,,,,,,,,,Anij,Alexander,Deanna Troi,Brett Anderson,,Adami,,,Alcyone,Bajor,Geonosis,Bespin,Alderaan,Boz Pity,Argo,Anoat,Archanis IV,Akiva,Scarif,Akula,X-wing,X-wing,X-wing,Andromache,Andromache,Andromache,Argos,Argos,Argos,Argos,Galactica,Galactica,Galactica,Colony,Corellian Engineering Corporation,Tylium,Ebon Hawk,Ebon Hawk,GR-75,Starfleet Command,Battle Station,Fortress,Outpost,ODP,ODP-XL
,,,,,,,,,,,,,,,,,,,,,,Belanna,Anij,Philippa Georgiou,Alonzo Freeman,,Adams,,,Andromeda,Caldos II,Ryloth,Dagobah,Hosnian Prime,Dathomir,Betazed,Antar 4,Axanar,Aldea,Hosnian Prime,Aldrin,TIE,TIE,TIE,Andromeda,Andromeda,Andromeda,Assertor,Assertor,Assertor,Assertor,Resurgent,Resurgent,Starkiller,Gideon,Corporate Alliance,Miranda,Envoy,Envoy,J-2,,Drydock,Starbase,Listening Post,,
,,,,,,,,,,,,,,,,,,,,,,Bejal,Antaak,Seven of Nine,Edward Jellico,,Adar,,,Antares,Ceti Alpha V,Malachor,Endor,Cato Neimoidia,Dytallix B,Caluula,Archanis IV,Bosph,Aleen,Cantonica,Ambassador,U-wing,U-wing,U-wing,Apollo,Apollo,Apollo,Athena,Athena,Athena,Athena,Valkyrie,Valkyrie,Valkyrie,GR-75,Delphi Corporation,Workbee,Eye of Palpatine,Eye of Palpatine,Theta,,DS,Planetary Defense,Forward Base,,
,,,,,,,,,,,,,,,,,,,,,,Beverly,Arctus,Jadzia Dax,Owen Paris,,Adi,,,Aquaria,Christophsis,Florrum,Yavin 4,Taris,Enara Prime,Dac,Axanar,Breen,Alfa 177,Lothal,Andromeda,TIE,TIE,TIE,Aquarius,Aquarius,Aquarius,Atlantia,Atlantia,Atlantia,Atlantia,Galaxy,Galaxy,,J-2,Galactic Empire,,Guardians Path,Guardians Path,Aspero,,,,Sensor Array,,
,,,,,,,,,,,,,,,,,,,,,,Briar,Benjamin,T'Pol,Jean-Luc Picard,,Agathon,,,Arcturus,Delta Vega,Ziost,Kashyyyk,Chandrila,Galorndon Core,Dakala,Belsavis,Caldos,Amondo,Crait,Apollo,BTL-B,BTL-B,BTL-B,Aquila,Aquila,Aquila,Bellator,Bellator,Bellator,Bellator,Sovereign,Sovereign,,Olympic Carrier,Graystone Industries,,Starbreaker 12,Starbreaker 12,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Carol,Berlinghoff,Beverly Crusher,Terral,,Alexander,,,Arkab,Florrum,Lothal,Coruscant,Pantora,Gault,Daled IV,Breen,Carlac,Aralia,Takodana,Argos,TIE/D,TIE/D,TIE/D,Arachne,Arachne,Arachne,Bellator,Bellator,Bellator,Bellator,Prometheus,Prometheus,,Sentinel,Hitei Kan,,The Iron Eclipse,The Iron Eclipse,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Celia,Boothby,Ro Laren,Gregory Quinn,,Allgood,,,Asherah,Galor IV,Sorgan,Dathomir,Scarif,Gideon,Drexel,Cait,Concord Dawn,Arkaria,Vardos,Aurora,Nantex,Nantex,Nantex,Ares,Ares,Ares,Cerberus,Cerberus,Cerberus,Cerberus,,,,Theta,Hoersch-Kessel,,Vector,Vector,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Chal,Braxton,Kira Nerys,Luke Skywalker,,Amasov,,,Ataraxia,Gamma Trianguli VI,Arvala-7,Naboo,Durkteel,Haven,Duro,Coridan,Coridan,Atzerri,DQar,Avenger,Preybird,Preybird,Preybird,Argus,Argus,Argus,Cerberus,Cerberus,Cerberus,Cerberus,,,,DY-100,InterGalactic Banking Clan,,Oberth,Oberth,,,,,,,
